uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,environment,category
WOS:000276857300018,Uncertainty and variability in enhanced biological phosphorus removal (EBPR) stoichiometry: consequences for process modelling and optimization,Water Science and Technology,Water Science and...,2010,"enhanced biological phosphorus removal (ebpr),glycogen accumulating organisms (gaos),metabolic models,polyphosphate accumulating organisms (paos)","houweling_dwight,comeau_yves,takacs_imre,dold_peter",all,all
WOS:000301400500025,Metabolic shift of polyphosphate-accumulating organisms with different levels of polyphosphate storage,Water Research,Water Research,2012,"polyphosphate-accumulating organisms (pao),glycogen-accumulating organisms (gao),accumulibacter type i,accumulibacter type ii,polyphosphate (poly-p),polyphosphate-accumulating metabolism (pam),glycogen-accumulating metabolism (gam),wastewater","acevedo_b,oehmen_a,carvalho_g,seco_a,borras_l,barat_r",all,all
WOS:000362147400020,Calcium effect on the metabolic pathway of phosphorus accumulating organisms in enhanced biological phosphorus removal systems,Water Research,Water Research,2015,"granular sludge,metabolic pathway,phosphorus accumulating organisms (paos),polyphosphate-accumulating metabolism (pam),glycogen-accumulating metabolism (gam)","zhang_hai-ling,sheng_guo-ping,fang_wei,wang_yong-peng,fang_cai-yun,shao_li-min,yu_han-qing",all,all
WOS:000255663400003,Modeling the aerobic metabolism of polyphosphate-accumulating organisms enriched with propionate as a carbon source,Water Environment Research,Water Environment Research,2007,"enhanced biological phosphorus removal,polyphosphate-accumulating organisms,metabolic model,propionate,glycogen-accumulating organisms,titration and offgas analysis","oehmen_adrian,zeng_raymond_j,keller_juerg,yuan_zhiguo",all,all
WOS:000300657900034,Microbial population analysis of nutrient removal-related organisms in membrane bioreactors,Applied Microbiology and Biotechnology,Applied Microbiology and...,2012,"membrane bioreactor (mbr),biological nutrient removal (bnr),fluorescence in situ hybridization (fish),polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao)","silva_ana_f,carvalho_gilda,oehmen_adrian,lousada-ferreira_maria,van_nieuwenhuijzen_arjen,reis_maria_a_m,barreto_crespo_m_teresa",all,all
WOS:000178794000005,Physical enrichment of polyphosphate-accumulating organisms in activated sludge,Water Environment Research,Water Environment Research,2002,"polyphosphate-accumulating organisms,flow cytometry,4 ' 6-diamidino-2-phenylindole dihydrochloride,gradient centrifugation,enhanced biological phosphorus removal","hung_ch,peccia_j,zilles_jl,noguera_dr",all,all
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,Journal of Chemical Engineering of Japan,Journal of Chemical...,2015,"polyphosphate accumulating organisms,glycogen accumulating organisms,humus soil side-stream reactor,polyphosphate kinase","wu_min,zhu_rui,ma_huirong,zhu_heguang,dai_xiaohu,yang_jian",all,all
WOS:000325739100005,The selective role of nitrite in the PAO/GAO competition,Chemosphere,Chemosphere,2013,"enhanced biological phosphorus removal (ebpr),nitrite,selection,polyphosphate accumulating organisms (paos),glycogen accumulating organisms (gaos)","taya_carlota,kumar_garlapati_vijay,guisasola_albert,baeza_juan_a",all,all
WOS:000342881300018,Modelling the metabolic shift of polyphosphate-accumulating organisms,Water Research,Water Research,2014,"polyphosphate accumulating metabolism (pam),glycogen accumulating metabolism (gam),enhanced biological phosphorus removal (ebpr),metabolic models,polyphosphate (poly-p),polyphosphate accumulating organism (pao)","acevedo_b,borras_l,oehmen_a,barat_r",all,all
WOS:000231335500013,In situ identification and characterization of the microbial community structure of full-scale enhanced biological phosphorous removal plants in Japan,Water Research,Water Research,2005,"ebpr,full-scale activated sludge plants,fish,oligonucleotide probes,polyphosphate accumulating organisms,glycogen accumulating organisms,microbial community","wong_mt,mino_t,seviour_rj,onuki_m,liu_wt",all,all
WOS:000184595400004,Quantitative estimation of the role of denitrifying phosphate accumulating organisms in nutrient removal,Water Science and Technology,Water Science and...,2003,"biological nutrient removal,denitrifiers,denitrifying polyphosphate-accumulating organisms,(dn-pao),hydrolysis,polyphosphate-accumulating organisms (pao)","shoji_t,satoh_h,mino_t",all,all
WOS:000319652400016,Microbial community changes during the start-up of an anaerobic/aerobic/anoxic-type sequencing batch reactor,Environmental Technology,Environmental Technology,2013,"enhanced biological phosphorus removal,glycogen-accumulating organisms,polyphosphate-accumulating organisms,polymerase chain reaction-denaturing gradient gel electrophoresis,16s ribosomal rna","zhang_qian,he_jiajie,wang_hongyu,ma_fang,yang_kai,wang_jingbo",all,all
WOS:000344823500028,The impact of aeration on the competition between polyphosphate accumulating organisms and glycogen accumulating organisms,Water Research,Water Research,2014,"dissolved oxygen (do),enhanced biological phosphorus removal (ebpr),aeration energy,polyphosphate accumulating organisms (paos),glycogen accumulating organisms (gaos),microbial competition","carvalheira_monica,oehmen_adrian,carvalho_gilda,eusebio_mario,reis_maria_a_m",all,all
WOS:000441109000005,Polyphosphate metabolic gene expression analyses reveal mechanisms of phosphorus accumulation and release in Microlunatus phosphovorus strain JN459,Fems Microbiology Letters,Fems Microbiology Letters,2018,"polyphosphate,phosphorus-accumulating organisms,polyphosphate glucokinase,polyphosphate/atp-dependent nad kinase","zhong_chuanqing,fu_jiafang,jiang_tianyi,zhang_chunming,cao_guangxiang",all,all
WOS:000170035100007,Enhanced biological phosphorus removal in an anaerobic-aerobic sequencing batch reactor: Effect of pH,Water Environment Research,Water Environment Research,2001,"enhanced biological phosphorus removal,sequencing batch reactors,microbial competition,glycogen-accumulating organisms,polyphosphate-accumulating organisms,ph,glycogen","jeon_co,lee_ds,lee_mw,park_jm",all,all
WOS:000184595400006,The effect of GAOs (glycogen accumulating organisms) on anaerobic carbon requirements in full-scale Australian EBPR (enhanced biological phosphorus removal) plants,Water Science and Technology,Water Science and...,2003,"enhanced biological phosphorus removal (ebpr),fluorescence in situ hybridisation (fish),glycogen accumulating organism (gao),polyphosphate accumulating organism (pao),poly-beta-hydroxyalkanoate (pha),volatile fatty acid (vfa)","saunders_am,oehmen_a,blackall_ll,yuan_z,keller_j",all,all
WOS:000238143000016,Evaluation of sludge reduction and phosphorus recovery efficiencies in a new advanced wastewater treatment system using denitrifying polyphosphate accumulating organisms,Water Science and Technology,Water Science and...,2006,"anaerobic-oxic-anoxic (a/o/a) system,denitrifying polyphosphate-accumulating organisms (dnpaos),excess sludge reduction,ozonation,phosphorus recovery,zirconium ferrite adsorbent","suzuki_y,kondo_t,nakagawa_v,tsuneda_s,hirata_a,shimizu_y,inamori_y",all,all
WOS:000177989100025,Polyphosphate kinase genes from activated sludge carrying out enhanced biological phosphorus removal,Water Science and Technology,Water Science and...,2002,"activated sludge,biological phosphorus removal,polyphosphate kinase,rhodocyclus","mcmahon_kd,jenkins_d,keasling_jd",all,all
WOS:000351513500013,Kinetic and stoichiometric characterization for efficient enhanced biological phosphorus removal (EBPR) process at high temperatures,Bioprocess and Biosystems Engineering,Bioprocess and Biosystems...,2015,"activated sludge model,glycogen accumulating organisms,parameter estimation,polyphosphate-accumulating organisms,tropical climate","liau_kee_fui,shoji_tadashi,ong_ying_hui,chua_adeline_seak_may,yeoh_hak_koon,ho_pei_yee",all,all
WOS:000177925500002,Calibration and validation of Activated Sludge Model No.2d for Spanish municipal wastewater,Environmental Technology,Environmental Technology,2002,"activated sludge model no.2d (asm2d),phosphorus removal,parameter estimation,model calibration,glycogen accumulating organisms (gaos)","penya-roja_jm,seco_a,ferrer_j,serralta_j",all,all
WOS:000487936100066,Growth enhancement of biodiesel-promising microalga Chlorella pyrenoidosa in municipal wastewater by polyphosphate-accumulating organisms,Journal of Cleaner Production,Journal of Cleaner...,2019,"phosphorus-accumulating organisms,algae-bacteria interactions,strains screening,municipal wastewater,biodiesel-promising microalgae","wang_qing,jin_wenbiao,zhou_xu,guo_shida,gao_shu-hong,chen_chuan,tu_renjie,han_song-fang,jiang_jiao,feng_xiaochi",all,all
WOS:000350869700008,EBPR Using Crude Glycerol: Assessing Process Resiliency and Exploring Metabolic Anomalies,Water Environment Research,Water Environment Research,2015,"enhanced biological phosphorus removal (ebpr),crude glycerol,polyphosphate accumulating organisms (paos),glycogen accumulating organisms (gaos),volatile fatty acids (vfas),polyphosphate","coats_erik_r,dobroth_zachary_t,brinkman_cynthia_k",all,all
WOS:000336708300003,A new configuration of sequencing batch reactor operated as a modified aerobic/extended-idle regime for simultaneously saving reactor volume and enhancing biological phosphorus removal,Biochemical Engineering Journal,Biochemical Engineering Journal,2014,"biological phosphorus removal,aerobic/extended-idle regime,polyphosphate,polyphosphate accumulating organisms,exopolyphosphatase,polyphosphate kinase","wang_dongbo,xu_qiuxiang,yang_weiqiang,chen_hongbo,li_xiaoming,liao_dexiang,yang_guojing,yang_qi,zeng_guangming",all,all
WOS:000504829800051,Effects of polyaluminium chloride addition on community structures of polyphosphate and glycogen accumulating organisms in biological phosphorus removal (BPR) systems,Bioresource Technology,Bioresource Technology,2020,"simultaneous chemical phosphorus removal (scpr),polyphosphate accumulating organisms (paos),polyaluminium chloride (pac),glycogen accumulating organisms (gaos)","wang_baogui,zeng_wei,fan_zhiwei,wang_chunyan,meng_qingan,peng_yongzhen",all,all
WOS:000316032100019,Phosphorus removal and simultaneous sludge reduction in humus soil sequencing batch reactor treating domestic wastewater,Chemical Engineering Journal,Chemical Engineering Journal,2013,"humus soil,sludge reduction,enhanced biological phosphorus removal,polyphosphate accumulating organisms,glycogen accumulating organisms","wu_min,zhu_rui,zhu_heguang,dai_xiaohu,yang_jian",all,all
WOS:000239498100008,Gene cassette-associated sequences from phosphorus and non-phosphorus removing microbial communities in aerobic : anaerobic sequencing batch reactors,Water Science and Technology,Water Science and...,2006,"activated sludge,enhanced biological phosphorus removal,gene cassettes,glycogen-accumulating organisms,polyphosphate accumulating organisms","beer_m,seviour_r_j",all,all
WOS:000464296400005,"Simultaneous nitrification, denitrification and phosphorus recovery (SNDPr) - An opportunity to facilitate full-scale recovery of phosphorus from municipal wastewater",Journal of Environmental Management,Journal of Environmental...,2019,"phosphorus recovery,polyphosphate accumulating organisms (paos),denitrifying polyphosphate accumulating organisms (dpaos),simultaneous nitrification denitrification and phosphorus removal (sndpr)","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p",all,all
WOS:000232417800031,The effect of pH on the competition between polyphosphate-accumulating organisms and glycogen-accumulating organisms,Water Research,Water Research,2005,"enhanced biological phosphorus removal (ebpr),polyphosphate-accumulating organisms (pao),glycogen-accumulating organisms (gao),volatile fatty acids (vfa),ph,fluorescence in situ hybridisation (fish)","oehmen_a,vives_mt,lu_hb,yuan_zg,keller_j",all,all
WOS:000462588700035,Granulation of activated sludge using butyrate and valerate as additional carbon source and granular phosphorus removal capacity during wastewater treatment,Bioresource Technology,Bioresource Technology,2019,"enhanced biological phosphorus removal (ebpr),aerobic granular sludge (ags),butyrate,valerate,polyphosphate-accumulating organisms (paos)","cai_wei,huang_wenli,lei_zhongfang,zhang_zhenya,lee_duu-jong,adachi_yasuhisa",all,all
WOS:000226128100019,Short-term effects of carbon source on the competition of polyphosphate accumulating organisms and glycogen accumulating organisms,Water Science and Technology,Water Science and...,2004,"enhanced biological phosphorus removal,fluorescence in-situ hybridisation,glycogen accumulating organism,polyphosphate accumulating organism,volatile fatty acid","oehmen_a,yuan_z,blackall_ll,keller_j",all,all
WOS:000283910600018,Incorporating microbial ecology into the metabolic modelling of polyphosphate accumulating organisms and glycogen accumulating organisms,Water Research,Water Research,2010,"enhanced biological phosphorus removal (ebpr),metabolic model,polyphosphate accumulating organism (pao),glycogen accumulating organism (gao),activated sludge model (asm),ecophysiology","oehmen_a,carvalho_g,lopez-vazquez_c_m,van_loosdrecht_m_c_m,reis_m_a_m",all,all
WOS:000394723200042,Nickel toxicity to the performance and microbial community of enhanced biological phosphorus removal system,Chemical Engineering Journal,Chemical Engineering Journal,2017,"nickel toxicity,phosphorus removal,polyphosphate accumulating organisms,glycogen accumulating organisms","sun_jian,yang_qi,wang_dongbo,wang_shana,chen_fei,zhong_yu,yi_kaixin,yao_fubing,jiang_chen,li_sibei,li_xiaoming,zeng_guangming",all,all
WOS:000318208500005,Verification of enzymes deterioration due to Cu(II) presence in an enhanced biological phosphorus removal system,Chemosphere,Chemosphere,2013,"polyhydroxyalkanoate (pha),glycogen,cu(ii),phosphorus accumulating organism (pao),acetyl-coa synthase (acs),polyphosphate kinase (ppk)","tsai_yung-pin,tzeng_huey-fen,lin_jan-wei,lu_meng-shan,lin_jyun-yen",all,all
WOS:000245171400018,Model-based evaluation of competition between polyphosphate- and glycogen-accumulating organisms,Water Research,Water Research,2007,"polyphosphate-accumulating organisms (paos),glycogen-accumulating organisms (gaos),competition,model simulation","whang_l_m,filipe_c_d_m,park_j_k",all,all
WOS:000310822200003,Deciphering the Genome of Polyphosphate Accumulating Actinobacterium Microlunatus phosphovorus,Dna Research,Dna Research,2012,"microlunatus phosphovorus,whole genome sequence,polyphosphate accumulating organism,polyphosphate,polyhydroxyalkanoate","kawakoshi_akatsuki,nakazawa_hidekazu,fukada_junji,sasagawa_machi,katano_yoko,nakamura_sanae,hosoyama_akira,sasaki_hiroki,ichikawa_natsuko,hanada_satoshi,kamagata_yoichi,nakamura_kazunori,yamazaki_shuji,fujita_nobuyuki",all,all
WOS:000384711900014,Distinctive denitrifying capabilities lead to differences in N2O production by denitrifying polyphosphate accumulating organisms and denitrifying glycogen accumulating organisms,Bioresource Technology,Bioresource Technology,2016,"denitrification,dgao,dpao,multiple electron acceptors,nitrous oxide","ribera-guardia_anna,marques_ricardo,arangio_corrado,carvalheira_monica,oehmen_adrian,pijuan_maite",all,all
WOS:000289837000009,Effect of Anaerobic HRT on Biological Phosphorus Removal and the Enrichment of Phosphorus Accumulating Organisms,Water Environment Research,Water Environment Research,2011,"enhanced biological phosphorus removal,volatile fatty acids,polyphosphate,qpcr,dgge,polyphosphate accumulating organisms","coats_erik_r,watkins_david_l,brinkman_cynthia_k,loge_frank_j",all,all
WOS:000366666000026,Denitrifying phosphorus removal for simultaneous nitrogen and phosphorus removal from wastewater with low C/N ratios and microbial community structure analysis,Desalination and Water Treatment,Desalination and Water...,2016,NA,"lv_xiao-mei,li_ji,sun_fei-yun,li_chao-lin,shao_ming-fei,dong_wen-yi",all,all
WOS:A1995RE55100004,MODELING GLYCOGEN-STORAGE AND DENITRIFICATION CAPABILITY OF MICROORGANISMS IN ENHANCED BIOLOGICAL PHOSPHATE REMOVAL PROCESSES,Water Science and Technology,Water Science and...,1995,"activated sludge,anaerobic aerobic process,denitrification,enhanced biological phosphate removal,glycogen,glycogen accumulating non-poly-p organisms (gaos),mathematical modeling,polyhydroxyalkanoates (pha),polyphosphate accumulating organisms (paos)","mino_t,liu_wt,kurisu_f,matsuo_t",all,all
WOS:000083352700005,The effect of sludge age on the deterioration of the enhanced biological phosphorus removal process,Environmental Technology,Environmental Technology,1999,"biological phosphorus removal,phosphate accumulating organisms,'g bacteria'","rodrigo_ma,seco_a,ferrer_j,penya-roja_jm",all,all
WOS:000080250600004,Metabolism of enhanced biological phosphorus removal and non-enhanced biological phosphorus removal sludge with acetate and glucose as carbon source,Water Science and Technology,Water Science and...,1999,"acetate,enhanced biological phosphorus removal,fluorescent in situ hybridization (fish),glucose,glycogen accumulating organisms (gaos),polyhydroxyalkanoates (phas),polyphosphate accumulating organism (paos),respiratory quinone profile","sudiana_im,mino_t,satoh_h,nakamura_k,matsuo_t",all,all
WOS:000375899200001,"Deciphering the relationship among phosphate dynamics, electron-dense body and lipid accumulation in the green alga Parachlorella kessleri",Scientific Reports,Scientific Reports,2016,NA,"ota_shuhei,yoshihara_mai,yamazaki_tomokazu,takeshita_tsuyoshi,hirata_aiko,konomi_mami,oshima_kenshiro,hattori_masahira,bisova_katerina,zachleder_vilem,kawano_shigeyuki",all,all
WOS:000362308200019,Long-term effect of Cu (II) on the phosphorous removal performance in enhanced biological phosphorous removal systems,Chemical Engineering Journal,Chemical Engineering Journal,2015,"enhanced biological phosphorus removal,cu (ii),phosphorus accumulating organisms,glycogen accumulating organisms","wu_min,jiang_xiaolin,lv_yaoling,zhou_jie,yuan_lu,jia_yulei,wang_yayi",all,all
WOS:000292377700003,"Biological Phosphorus Removal Performance and Relevant Microorganism Characteristics of Activated Sludge in Municipal Wastewater Treatment Plants, China",Water Environment Research,Water Environment Research,2011,"enhanced biological phosphorus removal,batch tests,accumulibacter,competibacter,influent composition,denitrifying polyphosphate-accumulating organisms","li_hui,zhang_zhijian,wang_hang,xu_xin,lin_yuan,zhang_jianying,jun_zhu",all,all
WOS:000396365900007,Modelling High-temperature EBPR by Incorporating Glycogen and GAOs: Challenges from a Preliminary Study,Water Environment Research,Water Environment Research,2017,"enhanced biological phosphorus removal,modified activated sludge model,parameter estimation,glycogen,glycogen-accumulating organisms,polyphosphate-accumulating organisms","liau_kee_fui,yeoh_hak_koon,shoji_tadashi,chua_adeline_seak_may,ho_pei_yee",all,all
WOS:000316032300051,The effect of free nitrous acid on key anaerobic processes in enhanced biological phosphorus removal systems,Bioresource Technology,Bioresource Technology,2013,"enhanced biological phosphorus removal,free nitrous acid,anaerobic metabolism,polyphosphate accumulating organisms,glycogen accumulating organisms","ye_liu,pijuan_maite,yuan_zhiguo",all,all
WOS:000248960500013,Proton motive force generation from stored polymers for the uptake of acetate under anaerobic conditions,Fems Microbiology Letters,Fems Microbiology Letters,2007,"enhanced biological phosphorus removal,polyphosphate,polyhydroxyalkanoate,secondary transport,substrate uptake","saunders_aaron_m,mabbett_amanda_n,mcewan_alastair_g,blackall_linda_l",all,all
WOS:000353605200018,Accumulation and isolation of simultaneous denitrifying polyphosphate-accumulating organisms in an improved sequencing batch reactor system at low temperature,International Biodeterioration and Biodegradation,International Biodeterioration and...,2015,"denitrifying polyphosphate-accumulating organisms,low temperature,nitrogen and phosphorus removal efficiency,accumulation,isolation,identification","liu_shuli,li_jianzheng",all,all
WOS:000272452900005,Acetate uptake efficiency of polyphosphate-accumulating organisms under exposure to surfactants,Water Science and Technology,Water Science and...,2009,"acetate uptake,ae,las,phosphate release,polyphosphate-accumulating organisms","tsuji_k,fujita_m,furumai_h",all,all
WOS:A1997WJ19400011,Metabolism of micro-organisms responsible for enhanced biological phosphorus removal from wastewater - Use of dynamic enrichment cultures,Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology,Antonie Van Leeuwenhoek...,1997,"acinetobacter sp,biological phosphorus removal,glycogen,metabolic modelling,polyphosphate,polyhydroxybutyrate","vanloosdrecht_mcm,smolders_gj,kuba_t,heijnen_jj",all,all
WOS:000236738500016,Nutritional deprivation increases intracellular phosphate and polyphosphate in poultry litter microflora,Letters in Applied Microbiology,Letters in Applied...,2006,"microflora,nutritional stress,phosphate,polyphosphate,poultry litter","doerner_kc,mason_bp",all,all
WOS:000242988600021,Obtaining highly enriched cultures of Candidatus Accumulibacter phosphates through alternating carbon sources,Water Research,Water Research,2006,"enhanced biological phosphorus removal (ebpr),candidatus accumulibacter,phosphatis,polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),volatile fatty acids (vfa),fluorescence in situ hyrbridisation (fish)","lu_huabing,oehmen_adrian,virdis_bernardino,keller_juerg,yuan_zhiguo",all,all
WOS:000354943300012,Effects of chemical phosphate precipitation in the sidestream process on biological phosphorus removal at the anaerobic stage in an anaerobic-aerobic sequencing batch reactor,Desalination and Water Treatment,Desalination and Water...,2015,"polyphosphate-accumulating organisms (paos),phosphorus removal,sidestream stripping,chemical precipitate,polyphosphate","lv_jinghua,yuan_linjiang",all,all
WOS:000309185600011,Inducing mechanism of biological phosphorus removal driven by the aerobic/extended-idle regime,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2012,"biological phosphorus removal,polyphosphate,dapi staining,polyphosphate accumulating organisms,aerobic,extended-idle regime","wang_dongbo,yang_guojing,li_xiaoming,zheng_wei,wu_yan,yang_qi,zeng_guangming",all,all
WOS:000262750000013,Robustness of sludge enriched with short SBR cycles for biological nutrient removal,Bioresource Technology,Bioresource Technology,2009,"enhanced biological phosphorus removal (ebpr),polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),nitrogen removal,temperature","freitas_filomena,temudo_margarida_f,carvalho_gilda,oehmen_adrian,reis_maria_a_m",all,all
WOS:000239498100031,Applicability of experience from laboratory reactors with biological phosphorus removal in full-scale plants,Water Science and Technology,Water Science and...,2006,"acetate,enhanced biological phosphorus removal,glycogen-accumulating organisms,polyphosphate-accumulating organisms,propionate,wastewater","tykesson_e,blackall_l_l,kong_y,nielsen_p_h,jansen_j_la_cour",all,all
WOS:000260016200010,The secret to achieving reliable biological phosphorus removal,Water Science and Technology,Water Science and...,2008,"acetate,biological phosphorus removal,glycogen accumulating organisms (gao),polyphosphate accumulating organisms (pao),propionate",thomas_m_p,all,all
WOS:000246491700006,Short-term temperature effects on the anaerobic metabolism of glycogen accumulating organisms,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2007,"enhanced biological phosphorus removal (ebpr),polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),pao-gao competition,temperature","lopez-vazquez_carlos_m,song_young-il,hooijmans_christine_m,brdjanovic_damir,moussa_moustafa_s,gijzen_huub_j,van_loosdrecht_mark_m_c",all,all
WOS:A1994QE02400023,GENETIC APPROACH TO ENHANCED BIOLOGICAL PHOSPHORUS REMOVAL,Water Science and Technology,Water Science and...,1994,"bacteria,biological phosphorus removal,exopolyphosphatase,gene manipulation,phosphate transport system,polyphosphate kinase,polyphosphate","ohtake_h,yamada_k,hardoyo,muramatsu_a,anbe_y,kato_j,shinjo_h",all,all
WOS:000228339200015,Optimisation of poly-beta-hydroxyalkanoate analysis using gas chromatography for enhanced biological phosphorus removal systems,Journal of Chromatography A,Journal of Chromatography...,2005,"poly-beta-hydroxyalkanoate,poly-beta-hydroxy-2-methylvalerate,enhanced biological phosphorus removal,polyphosphate accumulating organisms,glycogen accumulating organisms,propionate","oehmen_a,keller-lehmann_b,zeng_rj,yuan_zg,keller_e",all,all
WOS:000268138000045,Evaluation of Intracellular Polyphosphate Dynamics in Enhanced Biological Phosphorus Removal Process using Raman Microscopy,Environmental Science and Technology,Environmental Science and...,2009,NA,"majed_nehreen,matthaus_christian,diem_max,gu_april_z",all,all
WOS:000261127900003,Functionally Relevant Microorganisms to Enhanced Biological Phosphorus Removal Performance at Full-Scale Wastewater Treatment Plants in the United States,Water Environment Research,Water Environment Research,2008,"enhanced biological phosphorus removal,glycogen-accumulating organisms,polyphosphate-accumulating organisms,tetrad-forming organisms,accumulibacter,competibacter","gu_april_z,saunders_a,neethling_j_b,stensel_h_d,blackall_l_l",all,all
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,Desalination and Water Treatment,Desalination and Water...,2015,"airlift-loop reactor,limited filamentous bulking,polyphosphate-accumulating micro-organisms,polyphosphate metabolism","su_yiming,zhou_xuefei,dai_chaomeng,jiang_ming,zhang_yalei",all,all
WOS:000235153300002,Competition between polyphosphate- and glycogen-accumulating organisms in enhanced-biological-phosphorus-removal systems: Effect of temperature and sludge age,Water Environment Research,Water Environment Research,2006,"acetate-uptake rate,enhanced-biological-phosphorus removal,glycogen-accumulating nonpolyphosphate organisms,polyphosphate-accumulating organisms,sludge age,temperature","whang_lm,park_jk",all,all
