uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000177925500002,Calibration and validation of Activated Sludge Model No.2d for Spanish municipal wastewater,Environmental Technology,Environmental Technology,2002,"activated sludge model no.2d (asm2d),phosphorus removal,parameter estimation,model calibration,glycogen accumulating organisms (gaos)","penya-roja_jm,seco_a,ferrer_j,serralta_j"
WOS:000177989100021,Presence of Rhodocyclus in a full-scale wastewater treatment plant and their participation in enhanced biological phosphorus removal,Water Science and Technology,Water Science and...,2002,"dapi,ebpr,fish,phosphorus removal,polyphosphate,rhodocyclus","zilles_jl,hung_ch,noguera_dr"
WOS:000177989100023,Flow cytometric sorting and RFLP analysis of phosphate accumulating bacteria in an enhanced biological phosphorus removal system,Water Science and Technology,Water Science and...,2002,"community analysis,flow cytometory,ebpr,enhanced biological phosphorus removal,pao,phosphate-accumulating bacterium,rflp","kawaharasaki_m,manome_a,kanagawa_t,nakamura_k"
WOS:000177989100024,Analysis of microbial community that performs enhanced biological phosphorus removal in activated sludge fed with acetate,Water Science and Technology,Water Science and...,2002,"activated sludge,community analysis,enhanced biological phosphorus removal (ebpr),pcr-dgge,polyphosphate accumulating organisms (paos),rhodocyclus","onuki_m,satoh_h,mino_t"
WOS:000177989100025,Polyphosphate kinase genes from activated sludge carrying out enhanced biological phosphorus removal,Water Science and Technology,Water Science and...,2002,"activated sludge,biological phosphorus removal,polyphosphate kinase,rhodocyclus","mcmahon_kd,jenkins_d,keasling_jd"
WOS:000177989100026,Population dynamics in wastewater treatment plants with enhanced biological phosphorus removal operated with and without nitrogen removal,Water Science and Technology,Water Science and...,2002,"activated sludge,nutrient removal,polyphosphate-accumulating organisms (paos),rhodocyclus","lee_n,jansen_jl,aspegren_h,henze_m,nielsen_ph,wagner_m"
WOS:000177989100028,Phylogenetic and physiological diversity of tetrad-forming organisms in deteriorated biological phosphorus removal systems,Water Science and Technology,Water Science and...,2002,"dapi,ebpr systems,fluorescence in situ hybridization,pha,polyphosphate,tetrad-forming organisms","tsai_cs,liu_wt"
WOS:000177989100029,Implementation of glycogen accumulating bacteria in treating nutrient-deficient wastewater,Water Science and Technology,Water Science and...,2002,"activated sludge,bioreactor configuration,glycogen accumulating bacteria,non-filamentous bulking,nutrient-deficiency,slime formation","jobbagy_a,literathy_b,tardy_g"
WOS:000177989100030,Competition between polyphosphate- and glycogen-accumulating organisms in biological phosphorus removal systems - effect of temperature,Water Science and Technology,Water Science and...,2002,"enhanced biological phosphorus removal (ebpr),glycogen-accumulating non-poly-p organisms (gaos),polyphosphate-accumulating organisms (paos),temperature","whang_lm,park_jk"
WOS:000177989100031,Density separation and molecular methods to characterize enhanced biological phosphorus removal system populations,Water Science and Technology,Water Science and...,2002,"denaturing gradient gel electrophoresis,density,enhanced biological phosphorus removal","schuler_aj,onuki_m,satoh_h,mino_t"
WOS:000178390200064,A review and update of the microbiology of enhanced biological phosphorus removal in wastewater treatment plants,Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology,Antonie Van Leeuwenhoek...,2002,"accumulibacter,activated sludge microbiology,ebpr,gao,pao,phosphorus removal","blackall_ll,crocetti_g,saunders_am,bond_pl"
WOS:000178434900023,Effects of pH on enhanced biological phosphorus removal metabolisms,Water Science and Technology,Water Science and...,2002,"activated sludge,enhanced biological phosphorus removal,glycogen-accumulating organisms,ph,polyphosphate-accumulating organisms","schuler_aj,jenkins_d"
WOS:000178434900025,"Environmental factors contributing to the ""G bacteria"" population in full-scale EBPR plants",Water Science and Technology,Water Science and...,2002,"activated sludge,enhanced biological phosphorus removal,""g"" bacteria,polyphosphate accumulating organisms,population dynamics","griffiths_pc,stratton_hm,seviour_rj"
WOS:000178481500001,Analysis of the microbial community structure and function of a laboratory scale enhanced biological phosphorus removal reactor,Environmental Microbiology,Environmental Microbiology,2002,NA,"levantesi_c,serafim_ls,crocetti_gr,lemos_pc,rossetti_s,blackall_ll,reis_mam,tandoi_v"
WOS:000178794000005,Physical enrichment of polyphosphate-accumulating organisms in activated sludge,Water Environment Research,Water Environment Research,2002,"polyphosphate-accumulating organisms,flow cytometry,4 ' 6-diamidino-2-phenylindole dihydrochloride,gradient centrifugation,enhanced biological phosphorus removal","hung_ch,peccia_j,zilles_jl,noguera_dr"
WOS:000179363300009,Glycogen-accumulating organisms in laboratory-scale and full-scale wastewater treatment processes,Microbiology-Sgm,Microbiology-Sgm,2002,"gaos,fluorescence in situ hybridization (fish),wastewater treatment,ebpr","crocetti_gr,banfield_jf,keller_j,bond_pl,blackall_ll"
WOS:000179440400003,Microbiology of enhanced biological phosphorus removal in aerated-anoxic orbal processes,Water Environment Research,Water Environment Research,2002,"aerated-anoxic processes,candidatus accumulibacter phosphates,enhanced biological phosphorus removal,orbal process,phosphorus removal,polyphosphate,rhodocyclus","zilles_jl,peccia_j,noguera_dr"
WOS:000179563500018,Temperature effect on microbial community of enhanced biological phosphorus removal system,Water Research,Water Research,2003,"phosphorus-accumulating organisms,glycogen-accumulating organisms,temperature effect,enhanced biological phosphorus removal microbial community","panswad_t,doungchai_a,anotai_j"
WOS:000180146800011,Microbial community analysis of 5-stage biological nutrient removal process with step feed system,Journal of Microbiology and Biotechnology,Journal of Microbiology...,2002,"biological nutrient removal (bnr),community analysis,fluorescence in-situ hybridization (fish),dpaos,16s rdna analysis,paos","park_jb,lee_hw,lee_sy,lee_jo,bang_is,choi_es,park_dh,park_yk"
WOS:000180570600003,Enrichment of denitrifying glycogen-accumulating organisms in anaerobic/anoxic activated sludge system,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2003,"denitrifying glycogen-accumulating organisms (dgao),dpao,gao,toga,n2o, nitrite build-up","zeng_rj,yuan_zg,keller_j"
WOS:000182421600024,Microbial communities in activated sludge performing enhanced biological phosphorus removal in a sequencing batch reactor,Water Research,Water Research,2003,"microbial community,enhanced biological phosphorus removal,sequencing batch reactor","jeon_co,lee_ds,park_jm"
WOS:000183229800014,The characteristics of the bacterial community structure and population dynamics for phosphorus removal in SBR activated sludge processes,Water Research,Water Research,2003,"phosphorus removal activity,quinone profiles,population dynamics,species succession,sequencing batch reactor","lin_ck,katayama_y,hosomi_m,murakami_a,okada_m"
WOS:000183355600002,Identification and comparison of aerobic and denitrifying polyphosphate-accumulating organisms,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2003,"polyphosphate-accumulating organisms (paos),denitrifying polyphosphate-accumulating organisms (dpaos),fluorescence in situ hybridization (fish),accumulibacter,activated sludge,enhanced biological phosphorus removal (ebpr)","zeng_rj,saunders_am,yuan_zg,blackall_ll,keller_j"
WOS:000183758500005,Model-based analysis of anaerobic acetate uptake by a mixed culture of polyphosphate-accumulating and glycogen-accumulating organisms,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2003,"polyphosphate-accumulating organisms (paos),glycogen-accumulating organisms (gaos),toga,metabolic model,anaerobic acetate uptake,model identification","zeng_rj,yuan_zg,keller_j"
WOS:000183839100020,Molecular characterization of the microbial community structure in two activated sludge systems for the advanced treatment of domestic effluents,Water Research,Water Research,2003,"activated sludge,ebpr,fish,t-rflp,16s rdna analysis","eschenhagen_m,schuppler_m,roske_i"
WOS:000184160600009,Long-term population dynamics and in situ physiology in activated sludge systems with enhanced biological phosphorus removal operated with and without nitrogen removal,Systematic and Applied Microbiology,Systematic and Applied...,2003,"activated sludge,phosphorus and nitrogen removal,fluorescence in situ hybridization (fish),microautoradiography (mar),phosphorus-accumlating organisms (paos),rhodocyclus (accumulibacter),actinobacteria,glycogen-accumulating organisms (gaos)","lee_n,nielsen_ph,aspegren_h,henze_m,schleifer_kh,jansen_jl"
WOS:000184522700011,Conventional morphological and functional evaluation of the microbial populations in a sequencing batch reactor performing EBPR,Journal of Environmental Science and Health Part A-Toxic/Hazardous Substances and Environmental Engineering,Journal of Environmental...,2003,"enhanced biological phosphorus removal,granular activated sludge,morphology,phosphorus accumulating organisms tetrad/sarcina-like cells","dulekgurgen_e,yesiladali_k,ovez_s,tamerler_c,artan_n,orhon_d"
WOS:000184595400004,Quantitative estimation of the role of denitrifying phosphate accumulating organisms in nutrient removal,Water Science and Technology,Water Science and...,2003,"biological nutrient removal,denitrifiers,denitrifying polyphosphate-accumulating organisms,(dn-pao),hydrolysis,polyphosphate-accumulating organisms (pao)","shoji_t,satoh_h,mino_t"
WOS:000184595400006,The effect of GAOs (glycogen accumulating organisms) on anaerobic carbon requirements in full-scale Australian EBPR (enhanced biological phosphorus removal) plants,Water Science and Technology,Water Science and...,2003,"enhanced biological phosphorus removal (ebpr),fluorescence in situ hybridisation (fish),glycogen accumulating organism (gao),polyphosphate accumulating organism (pao),poly-beta-hydroxyalkanoate (pha),volatile fatty acid (vfa)","saunders_am,oehmen_a,blackall_ll,yuan_z,keller_j"
WOS:000184595400016,Design of nutrient removal activated sludge systems,Water Science and Technology,Water Science and...,2003,"activated sludge model no. 2 (asm2),design,models,nutrient removal,nitrogen,phosphorus","manga_j,ferrer_j,seco_a,garcia-usach_f"
WOS:000185444500005,"Simultaneous nitrification, denitrification, and phosphorus removal in a lab-scale sequencing batch reactor",Biotechnology and Bioengineering,Biotechnology and Bioengineering,2003,"simultaneous nitrification,denitrification and phosphorus removal (sndpr),denitrifying glycogen-accumulating organisms (dgaos),titration and off-gas analysis (toga),nitrous oxide (n2o),nitrite pathway","zeng_rj,lemaire_r,yuan_z,keller_j"
WOS:000186649600009,Controlling biosolids phosphorus content in enhanced biological phosphorus removal reactors,Water Environment Research,Water Environment Research,2003,"enhanced biological phosphorus removal,biosolids,phosphorus content,polyphosphate-accumulating organisms,primary sludge,waste activated sludge","chaparro_sk,noguera_dr"
WOS:000187634600006,Enhanced biological phosphorus removal in a sequencing batch reactor using propionate as the sole carbon source,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2004,"polyphosphate accumulating organisms (pao),enhanced biological phosphorus removal (ebpr),volatile fatty acids (vfa),propionate,fluorescence in situ hybridization (fish),modeling","pijuan_m,saunders_am,guisasola_a,baeza_ja,casas_c,blackall_ll"
WOS:000220016300004,Aerobic phosphorus release linked to acetate uptake in bio-P sludge: Process modeling using oxygen uptake rate,Biotechnology and Bioengineering,Biotechnology and Bioengineering,2004,"enhanced biological phosphorus removal (ebpr),oxygen uptake rate (our),modeling,respirometry,polyphosphate accumulating organisms (pao)","guisasola_a,pijuan_m,baeza_ja,carrera_j,casas_c,lafuente_j"
WOS:000220160000002,"Enhanced biological phosphorus removal from wastewater by biomass with different phosphorus contents, part I: Experimental results and comparison with metabolic models",Water Environment Research,Water Environment Research,2003,"enhanced biological phosphorus removal,activated sludge,bacterial storage products,polyphosphate,glycogen","schuler_aj,jenkins_d"
WOS:000220160000003,"Enhanced biological phosphorus removal from wastewater by biomass with different phosphorus contents, part II: Anaerobic adenosine triphosphate utilization and acetate uptake rates",Water Environment Research,Water Environment Research,2003,"enhanced biological phosphorus removal,activated sludge,acetate transport,bacterial storage products,polyphosphate,glycogen","schuler_aj,jenkins_d"
WOS:000220160000004,"Enhanced biological phosphorus removal from wastewater by biomass with different phosphorus contents, part III: Anaerobic sources of reducing equivalents",Water Environment Research,Water Environment Research,2003,"enhanced biological phosphorus removal,activated sludge,reducing equivalents,bacterial storage products,polyphosphate,glycogen,glycolysis,tricarboxylic acid cycle,glyoxylate bypass","schuler_aj,jenkins_d"
WOS:000221776200024,Changes in phosphorus removing performance and bacterial community structure in an enhanced biological phosphorus removal reactor,Water Research,Water Research,2004,"ebpr,bacterial community changes,quinone,paos,gaos,deterioration","okunuki_s,kawaharasaki_m,tanaka_h,kanagawa_t"
WOS:000222001100003,Modelling inorganic material in activated sludge systems,Water Sa,Water Sa,2004,"activated sludge,inorganic suspended solids,modelling,biological nutrient removal","ekama_ga,wentzel_mc"
WOS:000222215200006,Effects of pH and substrate on the competition between glycogen and phosphorus accumulating organisms,Journal of Environmental Science and Health Part A-Toxic/Hazardous Substances and Environmental Engineering,Journal of Environmental...,2004,"biological phosphorus removal,phosphate accumulating organism,glycogen accumulating organism","cokgor_eu,yagci_no,randall_cw,artan_n,orhon_d"
WOS:000222857900027,"Are some putative glycogen accumulating organisms (GAO) in anaerobic: aerobic activated sludge systems members of the alpha-Proteobacteria? (Retracted article. See vol 155, pg 2460, 2009)",Microbiology-Sgm,Microbiology-Sgm,2004,NA,"beer_m,kong_yh,seviour_rj"
WOS:000223254700005,The application of two-dimensional polyacrylamide gel electrophoresis and downstream analyses to a mixed community of prokaryotic microorganisms,Environmental Microbiology,Environmental Microbiology,2004,NA,"wilmes_p,bond_pl"
WOS:000223901100043,Microautoradiographic study of Rhodocyclus-related polyphosphate accumulating bacteria in full-scale enhanced biological phosphorus removal plants,Applied and Environmental Microbiology,Applied and Environmental...,2004,NA,"kong_yh,nielsen_jl,nielsen_ph"
WOS:000224952400019,The large PAO cells in full-scale EBPR biomass samples are not yeast spores but possibly novel members of the beta-Proteobacteria,Water Science and Technology,Water Science and...,2004,"beta-proteobacteria,ebpr,fish/mar,in situ physiology,pao,yeast spores","chua_asm,eales_k,mino_t,seviour_r"
WOS:000224952400033,Modelling and calibration of phosphate and glycogen accumulating organism competition for acetate uptake in a sequencing batch reactor,Water Science and Technology,Water Science and...,2004,"activated sludge,enhanced biological phosphate removal,glycogen accumulating organism,phosphate accumulating organism,polyhydroxyalkonates,sequencing batch reactor","yagci_n,insel_g,artan_n,orhon_d"
WOS:000225194700001,An extension of ASM2d including pH calculation,Water Research,Water Research,2004,"aquatic chemistry,asm2d,mathematical modeling,minteqa2,ph,sbr","serralta_j,ferrer_j,borras_l,seco_a"
WOS:000225194700008,A predictive model for the reactor inorganic suspended solids concentration in activated sludge systems,Water Research,Water Research,2004,"activated sludge,inorganic suspended solids,predictive model,biological nutrient removal","ekama_ga,wentzel_mc"
WOS:000225372700021,Identification and occurrence of tetrad-forming Alphaproteobacteria in anaerobic-aerobic activated sludge processes,Microbiology-Sgm,Microbiology-Sgm,2004,NA,"wong_mt,tan_fm,ng_wj,liu_wt"
WOS:000226104200014,Monitoring the impact of bioaugmentation on the start up of biological phosphorus removal in a laboratory scale activated sludge ecosystem,Applied Microbiology and Biotechnology,Applied Microbiology and...,2005,NA,"dabert_p,delgenes_jp,godon_jj"
WOS:000226128100018,Response of an EBPR population developed in an SBR with propionate to different carbon sources,Water Science and Technology,Water Science and...,2004,"carbon source,enhanced biological phosphorus removal,phosphorus accumulating organisms,polyhydroxyalkanoates,volatile fatty acids","pijuan_m,baeza_ja,casas_c,lafuente_j"
WOS:000226128100019,Short-term effects of carbon source on the competition of polyphosphate accumulating organisms and glycogen accumulating organisms,Water Science and Technology,Water Science and...,2004,"enhanced biological phosphorus removal,fluorescence in-situ hybridisation,glycogen accumulating organism,polyphosphate accumulating organism,volatile fatty acid","oehmen_a,yuan_z,blackall_ll,keller_j"
WOS:000226128100022,"A novel wastewater treatment process: simultaneous nitrification, denitrification and phosphorus removal",Water Science and Technology,Water Science and...,2004,"denitrification and phosphorus removal,denitrifying glycogen-accumulating organisms,nitrite pathway,nitrous oxide,simultaneous nitrification,toga","zeng_rj,lemaire_r,yuan_z,keller_j"
WOS:000227669000003,Optimization of enhanced biological phosphorus removal after periods of low loading,Water Environment Research,Water Environment Research,2005,"enhanced biological phosphorus removal,polyhydroxy alkanoate,phosphorus release rate,phosphorus uptake rate,phosphate-accumulating organisms","miyake_h,morgenroth_e"
WOS:000228339200015,Optimisation of poly-beta-hydroxyalkanoate analysis using gas chromatography for enhanced biological phosphorus removal systems,Journal of Chromatography A,Journal of Chromatography...,2005,"poly-beta-hydroxyalkanoate,poly-beta-hydroxy-2-methylvalerate,enhanced biological phosphorus removal,polyphosphate accumulating organisms,glycogen accumulating organisms,propionate","oehmen_a,keller-lehmann_b,zeng_rj,yuan_zg,keller_e"
