uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000350322700008,Evaluation of Simultaneous Nutrient and COD Removal with Polyhydroxybutyrate (PHB) Accumulation Using Mixed Microbial Consortia under Anoxic Condition and Their Bioinformatics Analysis,Plos One,Plos One,2015,NA,"jena_jyotsnarani,kumar_ravindra,dixit_anshuman,pandey_sony,das_trupti"
WOS:000350869700008,EBPR Using Crude Glycerol: Assessing Process Resiliency and Exploring Metabolic Anomalies,Water Environment Research,Water Environment Research,2015,"enhanced biological phosphorus removal (ebpr),crude glycerol,polyphosphate accumulating organisms (paos),glycogen accumulating organisms (gaos),volatile fatty acids (vfas),polyphosphate","coats_erik_r,dobroth_zachary_t,brinkman_cynthia_k"
WOS:000353560300014,Integrated side-stream reactor for biological nutrient removal and minimization of sludge production,Water Science and Technology,Water Science and...,2015,"activated sludge,biomass production,energy uncoupling,side-stream reactor (ssr),sludge reduction,yield","coma_m,rovira_s,canals_j,colprim_j"
WOS:000353729100052,The metabolic versatility of PAOs as an opportunity to obtain a highly P-enriched stream for further P-recovery,Chemical Engineering Journal,Chemical Engineering Journal,2015,"phosphorus recovery,polyphosphate (poly-p),polyphosphate accumulating metabolism (pam),glycogen accumulating metabolism (gam),enhanced biological phosphorus removal (ebpr),sequencing batch reactor (sbr)","acevedo_b,camino_c,corona_j_e,borras_l,barat_r"
WOS:000358805000001,Microbiological study of bacteriophage induction in the presence of chemical stress factors in enhanced biological phosphorus removal (EBPR),Water Research,Water Research,2015,"biological phosphorus removal,ebpr upset,bacteriophage induction,heavy metal,cyanide,antibiotic","motlagh_amir_mohaghegh,bhattacharjee_ananda_s,goel_ramesh"
WOS:000362845800019,Phosphate removal mechanism in an airlift-loop reactor under limited filamentous bulking conditions,Desalination and Water Treatment,Desalination and Water...,2015,"airlift-loop reactor,limited filamentous bulking,polyphosphate-accumulating micro-organisms,polyphosphate metabolism","su_yiming,zhou_xuefei,dai_chaomeng,jiang_ming,zhang_yalei"
WOS:000375186700012,Phosphorus removal and recovery from domestic wastewater in a novel process of enhanced biological phosphorus removal coupled with crystallization,Bioresource Technology,Bioresource Technology,2016,"enhanced biological phosphorus removal,crystallization phosphorus recovery,denitrifying polyphosphate accumulating organisms (dpao),hydroxyapatite (hap),domestic wastewater treatment","zou_haiming,wang_yan"
WOS:000403987500033,Dynamics of microbial community structure and nutrient removal from an innovative side-stream enhanced biological phosphorus removal process,Journal of Environmental Management,Journal of Environmental...,2017,"side-stream ebpr,phosphate accumulating organisms,real time pcr,next generation sequencing","islam_md_shahinoor,zhang_yanyan,dong_shimiao,mcphedran_kerry_n,rashed_ehab_m,el-shafei_maha_m,noureldin_ahmed_m,el-din_mohamed_gamal"
WOS:000406137200008,Sulfide effects on the anaerobic metabolism of polyphosphate-accumulating organisms,Chemical Engineering Journal,Chemical Engineering Journal,2017,"'candidatus accumulibacter phosphatis',sulfide inhibition,anaerobic,modelling,ebpr,pao","saad_sondos_a,welles_laurens,lopez-vazquez_carlos_m,van_loosdrecht_mark_c_m,brdjanovic_damir"
WOS:000412211300007,A comparative study of microbial dynamics and phosphorus removal for a two side-stream wastewater treatment processes,Rsc Advances,Rsc Advances,2017,NA,"zhang_yanyan,islam_md_shahinoor,mcphedran_kerry_n,dong_shimiao,rashed_ehab_m,el-shafei_maha_m,noureldin_ahmed_m,el-din_mohamed_gamal"
WOS:000430269200041,Re-visiting the Phostrip process to recover phosphorus from municipal wastewater,Chemical Engineering Journal,Chemical Engineering Journal,2018,"phostrip,municipal wastewater,phosphorus recovery,modified michaelis-menten kinetics","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p"
WOS:000430969800023,"Correlation of microbial community structure with pollutants removal, sludge reduction and sludge characteristics in micro-aerobic side-stream reactor coupled membrane bioreactors under different hydraulic retention times",Bioresource Technology,Bioresource Technology,2018,"sludge reduction,side-stream reactor,micro-aerobic,wastewater treatment,microbial community","cheng_cheng,zhou_zhen,pang_hongjian,zheng_yue,chen_liuyu,jiang_lu-man,zhao_xiaodan"
WOS:000433649800055,Improvement of carbon usage for phosphorus recovery in EBPR-r and the shift in microbial community,Journal of Environmental Management,Journal of Environmental...,2018,"nutrient removal,phosphorus recovery,post-denitrification,phosphorus removal,polyphosphate accumulating organisms,denitrifying polyphosphate accumulating organisms","wong_pan_yu,cheng_ka_yu,krishna_k_c_bal,kaksonen_anna_h,sutton_david_c,ginige_maneesha_p"
WOS:000438658800035,The ability of PAOs to conserve their storage-driven phosphorus uptake activities during prolonged aerobic starvation conditions,Journal of Water Process Engineering,Journal of Water...,2018,"denitrifying polyphosphate accumulating organism,phosphorus recovery,phosphorus removal,polyphosphate accumulating organisms,post-denitrification","wong_pan_yu,ginige_maneesha_p,kaksonen_anna_h,sutton_david_c,cheng_ka_yu"
WOS:000439640900054,Free ammonia-based sludge treatment reduces sludge production in the wastewater treatment process,Chemosphere,Chemosphere,2018,"wastewater treatment plants,sludge reduction,biological nutrient removal,free ammonia","yang_guojing,xu_qiuxiang,wang_dongbo,tang_li,xia_jingfen,wang_qilin,zeng_guangming,yang_qi,li_xiaoming"
WOS:000447004100055,A novel storage driven granular post denitrification process: Long-term effects of volume reduction on phosphate recovery,Chemical Engineering Journal,Chemical Engineering Journal,2019,"p recovery,dpaos,a(2)-sbr,granular sludge,anaerobic-anoxic,post denitrification,volume reduction","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p"
WOS:000460350900016,Operation performance of an A/O process combined sewage sludge treatment and phosphorus recovery using human urine,Water Science and Technology,Water Science and...,2018,"anaerobic/aerobic process,human urine,phosphorus recovery,temperature control,ultrasonic treatment","zeng_fanzhe,jin_wenbiao,zhao_qingliang"
WOS:000464296400005,"Simultaneous nitrification, denitrification and phosphorus recovery (SNDPr) - An opportunity to facilitate full-scale recovery of phosphorus from municipal wastewater",Journal of Environmental Management,Journal of Environmental...,2019,"phosphorus recovery,polyphosphate accumulating organisms (paos),denitrifying polyphosphate accumulating organisms (dpaos),simultaneous nitrification denitrification and phosphorus removal (sndpr)","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p"
WOS:000493220400025,Side-stream enhanced biological phosphorus removal (S2EBPR) process improves system performance - A full-scale comparative study,Water Research,Water Research,2019,"ebpr,side-stream,performance comparison,microbial ecology,activity","wang_dongqi,tooker_nicholas_b,srinivasan_varun,li_guangyu,fernandez_loretta_a,schauer_peter,menniti_adrienne,maher_chris,bott_charles_b,dombrowski_paul,barnard_james_l,onnis-hayden_annalisa,gu_april_z"
WOS:000497391100001,Global Sensitivity Analysis of Metabolic Models for Phosphorus Accumulating Organisms in Enhanced Biological Phosphorus Removal,Frontiers in Bioengineering and Biotechnology,Frontiers in Bioengineering...,2019,"global sensitivity analysis,monte carlo,enhanced biological phosphorus removal,phosphorus accumulating organism,metabolic model,ebpr,standard regression coefficients,sobol sensitivity analysis","minh_nguyen_quang,rogers_tim,hofman_jan,lanham_ana_b"
WOS:A1992HM29100007,BIOLOGICAL PHOSPHATE REMOVAL BY ACTIVATED-SLUDGE UNDER DEFINED CONDITIONS,Water Research,Water Research,1992,"activated sludge,biological phosphate removal,phosphate,polyphosphate,waste-water treatment","appeldoorn_kj,kortstee_gjj,zehnder_ajb"
