uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000166198800025,Metal oxide surfaces separated by aqueous solutions of linear polyphosphates: DLVO and non-DLVO interaction forces,Physical Chemistry Chemical Physics,Physical Chemistry Chemical...,2000,NA,"feiler_a,jenkins_p,ralston_j"
WOS:000170681200003,Quantitative analysis of the elemental composition and the mass of bacterial polyphosphate bodies using STEM EDX,Microbios,Microbios,2001,"quantitative analysis,polyphosphate bodies,stem edx","goldberg_j,gonzalez_h,jensen_te,corpe_wa"
WOS:000171009800022,The SH2 domain-containing 5-phosphatase SHIP2 is expressed in the germinal layers of embryo and adult mouse brain: Increased expression in N-CAM-deficient mice,Neuroscience,Neuroscience,2001,"phosphatidylinositol metabolism,brain development,ventricular zone,rostral migratory stream,n-cam,neural stem cell","muraille_e,dassesse_d,vanderwinden_jm,cremer_h,rogister_b,erneux_c,schiffmann_sn"
WOS:000172467300018,Evaluation of ppk-specified polyphosphate as a mercury remedial tool,Biological and Pharmaceutical Bulletin,Biological and Pharmaceutical...,2001,"polyphosphate,mercury-remediation,pmk27,mert,merp,ppk","pan-hou_h,kiyono_m,kawase_t,omura_t,endo_g"
WOS:000173049700011,Elemental analysis of uncultured magnetotactic bacteria exposed to heavy metals,Canadian Journal of Microbiology,Canadian Journal of...,2001,"magnetotactic bacteria,polyphosphate granules,heavy metals,uncultured bacteria,biomineralization,x-ray microanalysis","keim_cn,lins_u,farina_m"
WOS:000173644400021,Phosphorus uptake into algal biofilms in a lowland chalk river,Science of the Total Environment,Science of the...,2002,"kennet,thames,river,biofilm,phosphorus,phosphate,soluble reactive phosphorus,condensed phosphorus,organic phosphorus,inorganic polyphosphate,chlorophyll,calcite","jarvie_hp,neal_c,warwick_a,white_j,neal_m,wickham_hd,hill_lk,andrews_mc"
WOS:000174393900008,Polyphosphate produced in recombinant Escherichia coli confers mercury resistance,Fems Microbiology Letters,Fems Microbiology Letters,2002,"polyphosphate,mercury resistance,fusion plasmid pmkb18,mer genes,ppk","pan-hou_h,kiyono_m,omura_h,omura_t,endo_g"
WOS:000175786600019,"Extensive tubular vacuole system in an arbuscular mycorrhizal fungus, Gigaspora margarita",New Phytologist,New Phytologist,2002,"tubular vacuole,gigaspora margarita,arbuscular mycorrhiza,oregon green 488 carboxy-dffda,laser scanning confocal microscopy","uetake_y,kojima_t,ezawa_t,saito_m"
WOS:000175786600024,Phospho-imaging as a tool for visualization and noninvasive measurement of P transport dynamics in arbuscular mycorrhizas,New Phytologist,New Phytologist,2002,"glomus,organic phosphorus,phosphate,digital,autoradiogram,monoxenic","nielsen_js,joner_ej,declerck_s,olsson_s,jakobsen_i"
WOS:000178976800014,Washing powders and the environment: has TAED any influence on the complexing behaviour of phosphonic acids?,Water Research,Water Research,2002,"taed,phosphonic acids,complexation,copper ion,activator,washing powders","deluchat_v,lacour_s,serpaud_b,bollinger_jc"
WOS:000186296600010,Effect of dietary supplementation of vitamins C and E on maternal performance and larval quality of the prawn Macrobrachium rosenbergii,Aquaculture,Aquaculture,2003,"macrobrachium rosenbergii,tocopherol,ascorbic acid,reproduction,larval quality","cavalli_ro,batista_fmm,lavens_p,sorgeloos_p,nelis_hj,de_leenheer_ap"
WOS:000188829700004,Elemental stoichiometry of a heterotrophic bacterial community in a freshwater lake: implications for growth- and resource-dependent variations,Aquatic Microbial Ecology,Aquatic Microbial Ecology,2004,"bacterial communities,growth,nucleic acids,phosphorus,stoichiometry","makino_w,cotner_jb"
WOS:000220784200006,Induction of both acid and alkaline phosphatase activity in two green-algae (chlorophyceae) in low N and P concentrations,Hydrobiologia,Hydrobiologia,2004,"algal blooms,chlamydomonas sp.,chlorella sp.,n and p nutrition,phosphatase activity,physiology,vaal river","kruskopf_mm,du_plessis_s"
WOS:000221587400011,"Biokinetics of cadmium, selenium, and zinc in freshwater alga Scenedesmus obliquus under different phosphorus and nitrogen conditions and metal transfer to Daphnia magna",Environmental Pollution,Environmental Pollution,2004,"daphnia,metal uptake,macronutrients,eutrophication,efflux","yu_rq,wang_wx"
WOS:000221603500006,"Biological uptake of Cd, Se(IV) and Zn by Chlamydomonas reinhardtii in response to different phosphate and nitrate additions",Aquatic Microbial Ecology,Aquatic Microbial Ecology,2004,"uptake,metals,green alga,nutrient enrichment","yu_rq,wang_wx"
WOS:000222815300026,"Acidic vesicles in living hyphae of an arbuscular mycorrhizal fungus, Gigaspora margarita",Plant and Soil,Plant and Soil,2004,"arbuscular mycorrhizal fungi,bodipy 493/503,gigaspora margarita,laser-scanning confocal microscopy,lysotracker red,oregon green 488 carboxy-dffda","saito_k,kuga-uetake_y,saito_m"
WOS:000228901400014,Performance evaluation of dispersants through streaming potential measurements,Journal of Dispersion Science and Technology,Journal of Dispersion...,2005,"alumina,suspension,interface,dispersion,stability","bhattacharjee_s,singh_bp,besra_l,sengupta_dk"
WOS:000229745100002,Elemental composition of Microcystis aeruginosa under conditions of lake nutrient depletion,Aquatic Ecology,Aquatic Ecology,2005,"blue-green alga,lake ecosystem,microcystis,phosphorus,x-ray microanalysis","krivtsov_v,bellinger_eg,sigee_dc"
WOS:000234669100011,Effect of polyphosphate on removal of endocrine-disrupting chemicals of nonylphenol and bisphenol-A by activated carbons,Water Quality Research Journal of Canada,Water Quality Research...,2005,"endocrine-disrupting chemicals,nonylphenol,bisphenol-a,polyphosphate,activated carbon","choi_kj,kim_sg,kim_cw,kim_sh"
WOS:000235220500007,Physiological differences between two species of cyanobacteria in relation to phosphorus limitation,Journal of Phycology,Journal of Phycology,2006,"calothrix,nostoc,phosphatase activity,phosphate uptake,polyphosphate granules","mateo_p,douterelo_i,berrendero_e,perona_e"
WOS:000238618700010,"Relationship between labile dissolved organic carbon (LDOC), bacterioplankton cell phosphorus quota, and bacterial phosphate uptake rate in lakes",Journal of Great Lakes Research,Journal of Great...,2005,"bacterioplankton,phosphate uptake,p-quota,labile dissolved organic carbon","gao_xueqing,heath_robert_t"
WOS:000241706100009,Surfactant-sensitized malachite green method for trace determination of orthophosphate in aqueous solution,Analytica Chimica Acta,Analytica Chimica Acta,2006,"orthophosphate determination,malachite green,interference,organic phosphorus,hydrolysis,silicate,arsenate,spectrophotometry,surfactant","huang_xiao-lan,zhang_jia-zhong"
WOS:000243739700024,Potable water filtration sludge: Use as set retarder in one-coat plastering mortars,Construction and Building Materials,Construction and Building...,2007,"mortar admixtures,set retarding,workability,potable water filtration sludge","raupp-pereira_f,silva_l,segadaes_a_m,hotza_d,labrincha_j_a"
WOS:000244992800019,Intracellular phosphorus metabolism and growth of Microcystis aeruginosa in dark/light cycles under various redox potential difference conditions,Hydrobiologia,Hydrobiologia,2007,"microcystis aeruginosa,growth,phosphorus metabolism,dark,light cycle,redox potential difference,lake taihu","shi_xiaoli,yang_liuyan,jiang_lijuan,kong_fanxiang,qin_boqiang,gao_guang"
WOS:000253299300001,Low potassium and inorganic carbon concentrations influence a possible phosphorus limitation in Chlamydomonas acidophila (Chlorophyceae),European Journal of Phycology,European Journal of...,2007,"acidic lake,chlamydomonas,co2,extreme chemical environment,in situ fluorescence,minimum cell quota for phosphorus,phosphatases,threshold srp concentration for growth","spijkerman_elly,bissinger_vera,meister_armin,gaedke_ursula"
WOS:000258439600022,Factors influencing luxury uptake of phosphorus by microalgae in waste stabilization ponds,Environmental Science and Technology,Environmental Science and...,2008,NA,"powell_nicola,shilton_andrew_n,pratt_steven,chisti_yusuf"
WOS:000262413800025,Texture and colour properties of proteins recovered from whole gutted silver carp (Hypophthalmichthys molitrix) using isoelectric solubilisation/precipitation,Journal of the Science of Food and Agriculture,Journal of the...,2009,"carp proteins,isoelectric solubilisation/precipitation,protein recovery,beef plasma proteins,transglutaminase,texture and colour properties","taskaya_latif,chen_yi-chen,beamer_sarah,jaczynski_jacek"
WOS:000263714300003,Copper isotope fractionation in acid mine drainage,Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica...,2009,NA,"kimball_b_e,mathur_r,dohnalkova_a_c,wall_a_j,runkel_r_l,brantley_s_l"
WOS:000273383300002,Did nature also choose arsenic?,International Journal of Astrobiology,International Journal of...,2009,"arsenic,phosphate,weird life,shadow biosphere,origins of life","wolfe-simon_felisa,davies_paul_c_w,anbar_ariel_d"
WOS:000273447500011,Morphology and phylogeny of a non-toxic invasive Cylindrospermopsis raciborskii from a Mediterranean Lake,Hydrobiologia,Hydrobiologia,2010,"cyanobacteria,morphology,life cycle,genetic identification,phylogeny,toxicity","alster_alla,kaplan-levy_ruth_n,sukenik_assaf,zohary_tamar"
WOS:000275379300057,Autocatalytic Nature of Permanganate Oxidations Exploited for Highly Sensitive Chemiluminescence Detection,Analytical Chemistry,Analytical Chemistry,2010,NA,"slezak_teo,terry_jessica_m,francis_paul_s,hindson_christopher_m,olson_don_c,wolcott_duane_k,barnett_neil_w"
WOS:000281941100033,"Enslavement in the Water Body by Toxic Aphanizomenon ovalisporum, Inducing Alkaline Phosphatase in Phytoplanktons",Current Biology,Current Biology,2010,NA,"bar-yosef_yehonathan,sukenik_assaf,hadas_ora,viner-mozzini_yehudit,kaplan_aaron"
WOS:000285096700025,Spatial and temporal changes in phosphorus partitioning within a freshwater cyanobacterial mat community,Biogeochemistry,Biogeochemistry,2010,"phosphorus partitioning,diurnal changes,sequential fractionation,cyanobacterial mat,eps","borovec_jakub,sirova_dagmara,mosnerova_petra,rejmankova_eliska,vrba_jaroslav"
WOS:000287826800018,Luxury uptake of phosphorus by microalgae in full-scale waste stabilisation ponds,Water Science and Technology,Water Science and...,2011,"luxury uptake,phosphorus removal,polyphosphate,waste stabilisation ponds","powell_n,shilton_a,pratt_s,chisti_y"
WOS:000296479700002,Diversity of Freshwater Thioploca Species and Their Specific Association with Filamentous Bacteria of the Phylum Chloroflexi,Microbial Ecology,Microbial Ecology,2011,NA,"nemoto_fumiko,kojima_hisaya,fukui_manabu"
WOS:000300478100022,Polyphosphates used for membrane scaling inhibition during water desalination by membrane distillation,Desalination,Desalination,2012,"membrane distillation,antiscalant,polyphosphate,scaling,caco3",gryta_marek
WOS:000300883200019,Massive multiplication of genome and ribosomes in dormant cells (akinetes) of Aphanizomenon ovalisporum (Cyanobacteria),Isme Journal,Isme Journal,2012,"akinetes,cyanobacteria,fluorescence in situ hybridization,polyphosphate,polyploidy,laser microdissection microscopy","sukenik_assaf,kaplan-levy_ruth_n,welch_jessica_mark,post_anton_f"
WOS:000303697800006,PHYSIOLOGICAL AND ULTRASTRUCTURAL RESPONSES OF MICROCYSTIS AERUGINOSA TO DIFFERENT PHOSPHORUS CONCENTRATIONS,Fresenius Environmental Bulletin,Fresenius Environmental Bulletin,2012,"alkaline phosphatase activity,microcystis aeruginosa,inorganic phosphorus,oxygen evolution activity,polyphosphate bodies","tan_xiang,ma_peiming,song_lirong,zhang_quanfa"
WOS:000304810200012,"IDENTIFICATION AND PHYSIOLOGICAL ASPECTS OF A NOVEL CAROTENOID-ENRICHED, METAL-RESISTANT MICROALGA ISOLATED FROM AN ACIDIC RIVER IN HUELVA (SPAIN)",Journal of Phycology,Journal of Phycology,2012,"acidophile,carotenoids,coccomyxa,lutein,microalgae,oxidative stress","garbayo_ines,torronteras_rafael,forjan_eduardo,cuaresma_maria,casal_carlos,mogedas_benito,ruiz-dominguez_maria_c,marquez_carmen,vaquero_isabel,fuentes-cordero_juan_l,fuentes_rocio,gonzalez-del-valle_manuel,vilchez_carlos"
WOS:000307212800041,Gametogenesis and Auxospore Development in Actinocyclus (Bacillariophyta),Plos One,Plos One,2012,NA,"idei_masahiko,osada_keigo,sato_shinya,toyoda_kensuke,nagumo_tamotsu,mann_david_g"
WOS:000311193600006,Studies of the effect of sodium tripolyphosphate on frozen shrimp by physicochemical analytical methods and Low Field Nuclear Magnetic Resonance (LF H-1 NMR),Lwt-Food Science and Technology,Lwt-Food Science and...,2013,"low field nuclear magnetic resonance (lf nmr),transversal relaxation,shrimp freeze process,polyphosphate","carneiro_carla_da_silva,marsico_eliane_teixeira,resende_ribeiro_roberta_de_oliveira,conte_junior_carlos_adam,alvares_thiago_silveira,oliveira_de_jesus_edgar_francisco"
WOS:000311262100012,"Salinity promotes growth of freshwater Neochloris oleoabundans UTEX 1185 (Sphaeropleales, Chlorophyta): morphophysiological aspects",Phycologia,Phycologia,2012,"neochloris oleoabundans,photosynthetic apparatus,salinity","baldisserotto_costanza,ferroni_lorenzo,giovanardi_martina,boccaletti_luca,pantaleoni_laura,pancaldi_simonetta"
WOS:000314558100063,"Acidocalcisomes of Trypanosoma brucei have an inositol 1,4,5-trisphosphate receptor that is required for growth and infectivity",Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the...,2013,NA,"huang_guozhong,bartlett_paula_j,thomas_andrew_p,moreno_silvia_n_j,docampo_roberto"
WOS:000315281300017,Photodegradation of Detergent Phosphorus in Aquatic Environment,Water Air and Soil Pollution,Water Air and...,2013,"photodegradation,detergents,polyphosphate,humic substances","grzybowski_waldemar,szydlowski_jerzy"
WOS:000321027500037,Enhanced Purification of Eutrophic Water by Microbe-Inoculated Stereo Floating Beds,Polish Journal of Environmental Studies,Polish Journal of...,2013,"stereo floating bed,nutrient removal,tall fescue,mobilized dpaos,animal feed","zhao_fengliang,zhang_songda,ding_zheli,aziz_rukhsanda,rafiq_muhammad_tariq,li_hong,he_zhenli,stoffella_peter_j,yang_xiaoe"
WOS:000330933100006,"New epiphytic araphid diatoms in the genus Ulnaria (Bacillariophyta) from Lake Titicaca, Bolivia",Diatom Research,Diatom Research,2014,"altiplano,ancient lake,andes,fragilaria,new species,synedra,taxonomy,ulnaria","morales_eduardo_a,rivera_sinziana_f,wetzel_carlos_e,novais_maria_h,hamilton_paul_b,hoffmann_lucien,ector_luc"
WOS:000331924200021,Monitoring bioavailable phosphorus in lotic systems: A polyphasic approach based on cyanobacteria,Science of the Total Environment,Science of the...,2014,"bioavailable phosphorus,self-luminescent bioreporter,phosphatase activity,polyphosphate granules,hairs,calyptra","angeles_munoz-martin_m,martinez-rosell_aitor,perona_elvira,fernandez-pinas_francisca,mateo_pilar"
WOS:000344922000002,"Water quality, chlorophyll, and periphyton responses to nutrient addition in the Kootenai River, Idaho",Freshwater Science,Freshwater Science,2014,"nutrient addition,phosphorus,nitrogen,tn : tp ratio,water quality,chlorophyll accrual,periphyton,river restoration","hoyle_genevieve_m,holderman_charlie,anders_paul_j,shafii_bahman,ashley_kenneth_i"
WOS:000345384600016,"Candidatus 'Chloroploca asiatica' gen. nov., sp nov., a New Mesophilic Filamentous Anoxygenic Phototrophic Bacterium",Microbiology,Microbiology,2014,"soda lakes,alkaliphilic phototrophic communities,mesophilic filamentous anoxygenic phototrophic bacteria,chloroflexi phylogeny","gorlenko_v_m,bryantseva_i_a,kalashnikov_a_m,gaisin_v_a,sukhacheva_m_v,gruzdev_d_s,kuznetsov_b_b"
WOS:000347660400004,Genetic variability of psychrotolerant Acidithiobacillus ferrivorans revealed by (meta)genomic analysis,Research in Microbiology,Research in Microbiology,2014,"mobilome,genome,metagenome,copper resistance,heavy metal resistance,cus","gonzalez_carolina,yanquepe_maria,cardenas_juan_pablo,valdes_jorge,quatrini_raquel,holmes_david_s,dopson_mark"
WOS:000348839500005,Synthetic polymers are more effective than natural flocculants for the clarification of tobacco leaf extracts,Journal of Biotechnology,Journal of Biotechnology,2015,"bioprocess development,plant-derived biopharmaceuticals,protein purification,plant extract flocculation,design of experiments (doe)","buyel_johannes_f,fischer_rainer"
WOS:000352328300020,Effect of orthophosphate and bioavailability of dissolved organic phosphorous compounds to typically harmful cyanobacterium Microcystis aeruginosa,Marine Pollution Bulletin,Marine Pollution Bulletin,2015,"microcystis aeruginosa,dissolved organic phosphorus,phosphorus depletion,alkaline phosphatase","li_jihua,wang_zhongwei,cao_xin,wang_zhengfang,zheng_zheng"
WOS:000371371700052,UV/H2O2 and UV/PDS Treatment of Trimethoprim and Sulfamethoxazole in Synthetic Human Urine: Transformation Products and Toxicity,Environmental Science and Technology,Environmental Science and...,2016,NA,"zhang_ruochun,yang_yongkui,huang_ching-hua,li_na,liu_hang,zhao_lin,sun_peizhe"
WOS:000372300100001,Adsorptive Performance of Ni(II) from Aqueous Solutions Using Biochar Made of Phragmites australis by Adding Ammonium Polyphosphate as Flame Retardant,Journal of Chemistry,Journal of Chemistry,2016,NA,"liu_peng,yue_min,zhang_houyong"
WOS:000382727400008,The chemical quality of frozen Vietnamese Pangasius hypophthalmus fillets,Food Science and Nutrition,Food Science and...,2016,"dma-80,fraud,freshwater fish,hplc,mercury,sutchi catfish","marques_guimaraes_carlos_frederico,marsico_eliane_teixeira,guerra_monteiro_maria_lucia,lemos_mosar,mano_sergio_borges,conte_junior_carlos_adam"
WOS:000391104300014,Size evolution in microorganisms masks trade-offs predicted by the growth rate hypothesis,Proceedings of the Royal Society B-Biological Sciences,Proceedings of the...,2016,"bacteria,growth rate hypothesis,stoichiometry,experimental evolution,r/k strategies,pseudomonas fluorescens","gounand_isabelle,daufresne_tanguy,gravel_dominique,bouvier_corinne,bouvier_thierry,combe_marine,gougat-barbera_claire,poly_franck,torres-barcelo_clara,mouquet_nicolas"
WOS:000396946800042,Iron(III)-polyphosphates as catalysts for the liquid redox sulfur recovery process,Applied Catalysis B-Environmental,Applied Catalysis B-Environmental,2017,"iron(iii)-polyphosphates,new and stable lrsr catalysts,liquid redox sulfur recovery,hydrogen sulfide abatement,iron(iii)-nitrilotriacetate","safarzadeh-amiri_ali,walton_john,mahmoud_ilias,sharifi_naghmeh"
WOS:000399094700084,Effect of phosphorus stress on Microcystis aeruginosa growth and phosphorus uptake,Plos One,Plos One,2017,NA,"ghaffar_sajeela,stevenson_r_jan,khan_zahiruddin"
WOS:000412504700010,The inositol pyrophosphate synthesis pathway in Trypanosoma brucei is linked to polyphosphate synthesis in acidocalcisomes,Molecular Microbiology,Molecular Microbiology,2017,NA,"cordeiro_ciro_d,saiardi_adolfo,docampo_roberto"
WOS:000419409000059,Reduction of microbial counts during kitchen scale washing and sanitization of salad vegetables,Food Control,Food Control,2018,"food service,fresh vegetables,sanitizers,indicator microorganisms,developing countries","ssemanda_james_noah,joosten_han,bagabe_mark_cyubahiro,zwietering_marcel_h,reij_martine_w"
WOS:000424955400044,Elucidating Surface Restructuring-Induced Catalytic Reactivity of Cobalt Phosphide Nanoparticles under Electrochemical Conditions,Journal of Physical Chemistry C,Journal of Physical...,2018,NA,"wu_zishan,gan_quan,li_xiaolin,zhong_yiren,wang_hailiang"
WOS:000439942200012,Factor XII Activation Promotes Platelet Consumption in the Presence of Bacterial-Type Long-Chain Polyphosphate In Vitro and In Vivo,Arteriosclerosis Thrombosis and Vascular Biology,Arteriosclerosis Thrombosis and...,2018,"blood platelets,factor xi,factor xii,fibrin,sepsis","zilberman-rudenko_jevgenia,reitsma_stephanie_e,puy_cristina,rigg_rachel_a,smith_stephanie_a,tucker_erik_i,silasi_robert,merkulova_alona,mccrae_keith_r,maas_coen,urbanus_rolf_t,gailani_david,morrissey_james_h,gruber_andras,lupu_florea,schmaier_alvin_h,mccarty_owen_j_t"
WOS:000441231100003,Response of Microcystis aeruginosa FACHB-905 to different nutrient ratios and changes in phosphorus chemistry,Journal of Oceanology and Limnology,Journal of Oceanology...,2018,"antioxidant system,chlorophyll fluorescence parameters,microcystis,nutrient stress,photosynthesis","peng_guotao,wilhelm_steven_w,lin_sijie,wang_xiangrong"
WOS:000455706700001,Novel Mechanism for Surface Layer Shedding and Regenerating in Bacteria Exposed to Metal-Contaminated Conditions,Frontiers in Microbiology,Frontiers in Microbiology,2019,"s-layer,metal,biomineralization,metallotolerance,lysinibacillus","chandramohan_archjana,duprat_elodie,remusat_laurent,zirah_severine,lombard_carine,kish_adrienne"
WOS:000458224000016,An integrated mechanistic modeling of a facultative pond: Parameter estimation and uncertainty analysis,Water Research,Water Research,2019,"waste stabilization pond,integrated mechanistic model,sensitivity analysis,identifiability analysis,parameter estimation,uncertainty analysis","ho_long_t,alvarado_andres,larriva_josue,pompeu_cassia,goethals_peter"
WOS:000460444700003,Gene Expansion and Positive Selection as Bacterial Adaptations to Oligotrophic Conditions,Msphere,Msphere,2019,"genomic adaptations,microbial ecology,oligotrophy,selection,streamlining","props_ruben,monsieurs_pieter,vandamme_peter,leys_natalie,denef_vincent_j,boon_nico"
WOS:000469763400004,"""Candidatus Viridilinea mediisalina', a novel phototrophic Chloroflexi bacterium from a Siberian soda lake",Fems Microbiology Letters,Fems Microbiology Letters,2019,"chloroflexi,viridilinea,phototrophic bacteria,bacteriochlorophyll d,soda lakes","gaisin_vasil_a,burganskaya_ekaterina_i,grouzdev_denis_s,ashikhmin_aleksandr_a,kostrikinal_nadezda_a,bryantseva_irina_a,koziaeva_veronika_v,gorlenko_vladimir_m"
WOS:000471087800006,Phosphorus strategy in bloom-forming cyanobacteria (Dolichospermum and Microcystis) and its role in their succession,Harmful Algae,Harmful Algae,2019,"microcystis,dolichospermum,succession,phosphorus limitation,phosphatase,polyphosphate","wan_lingling,chen_xiaoyan,deng_qinghui,yang_liu,li_xiaowen,zhang_junyi,song_chunlei,zhou_yiyong,cao_xiuyun"
WOS:000472593800016,Different ecophysiological and structural strategies of toxic and non-toxic Microcystis aeruginosa (cyanobacteria) strains assessed under culture conditions,Algal Research-Biomass Biofuels and Bioproducts,Algal Research-Biomass Biofuels...,2019,"itraq,microcystin,morphology,physiology,proteomics,ultrastructure","jacinavicius_fernanda_r,pacheco_ana_beatriz_f,chow_fungyi,verissimo_da_costa_giovani_c,kalume_dario_eluan,rigonato_janaina,schmidt_eder_c,sant'anna_celia_l"
WOS:000479021400019,The effect of different food grade additives on the quality of Pacific white shrimp (Litopenaeus vannamei) after two freeze-thaw cycles,Lwt-Food Science and Technology,Lwt-Food Science and...,2019,"seafood,shrimp,quality,water retention,additives,fraud","da_silva_oliveira_maria_erica,goncalves_alex_augusto"
WOS:000487114000004,Cyanobacterium Nodularia spumigena strain CCY9414 accumulates polyphosphate under long-term P-limiting conditions,Aquatic Microbial Ecology,Aquatic Microbial Ecology,2019,"cyanobacterium,electron microscopy,gene expression,polyphosphate","hagemann_martin,moeke_fred,springer_armin,westermann_linda,frank_marcus,wasmund_norbert,bauwe_hermann"
WOS:000493902100005,Evaluating the stoichiometric trait distributions of cultured bacterial populations and uncultured microbial communities,Environmental Microbiology,Environmental Microbiology,2019,NA,"manzella_michael,geiss_roy,hall_ed_k"
WOS:000495242000013,"Strategies of phosphorus utilization in an astaxanthin-producing green alga Haematococcus pluvialis, a comparison with a bloom-forming cyanobacterium Microcystis wesenbergii",Aquatic Ecology,Aquatic Ecology,2019,"alkaline phosphatase,biodiversity protection,haematococcus culture,phosphorus uptake,polyphosphate","ding_dongbo,chen_shasha,peng_shuiping,jiang_changyu,zheng_lingling,li_jie"
WOS:000495590600012,"Betaine accumulation suppresses the de-novo synthesis of ectoine at a low osmotic concentration in Halomonas sp SBS 10, a bacterium with broad salinity tolerance",Molecular Biology Reports,Molecular Biology Reports,2019,"betaine,ectoine,halomonas gudaonensis,phylogenetic analysis,sambhar salt lake","kushwaha_bijayendra,jadhav_indrani,verma_hriday_narain,geethadevi_anjali,parashar_deepak,jadhav_kapilesh"
WOS:A19611717B00011,"WATER BINDING CAPACITY OF FRESH PORK .1. INFLUENCE OF SODIUM CHLORIDE, PYROPHOSPHATE, AND POLYPHOSPHATE ON WATER ABSORPTION",Food Technology,Food Technology,1961,NA,sherman_p
WOS:A1991FH43200019,X-RAY MICROANALYTICAL STUDIES OF FRESH-WATER BIOTA - CHANGES IN THE ELEMENTAL COMPOSITION OF ANABAENA-SPIROIDES DURING BLOOMS OF 1988 AND 1989,Scanning Microscopy,Scanning Microscopy,1991,"phytoplankton,blue-green algae,algal blooms,x-ray microanalysis","clay_s,sigee_dc,bellinger_e"
WOS:A1992JZ96300012,DIFFERENTIAL LUXURY PHOSPHATE RESPONSE OF PLANKTONIC ALGAE TO PHOSPHORUS REMOVAL,Hydrobiologia,Hydrobiologia,1992,"eutrophication,planktonic algae,polyphosphate granules,phosphorus removal","bolier_g,dekoningh_mcj,schmale_jc,donze_m"
WOS:A1993KE60300095,AN EXOPOLYPHOSPHATASE OF ESCHERICHIA-COLI - THE ENZYME AND ITS PPX GENE IN A POLYPHOSPHATE OPERON,Journal of Biological Chemistry,Journal of Biological...,1993,NA,"akiyama_m,crooke_e,kornberg_a"
WOS:A1993KX96900031,PARTICULATE PHOSPHORUS SEDIMENTATION AT THE RIVER INFLOW TO A LAKE,Hydrobiologia,Hydrobiologia,1993,"sedimentation,phosphorus fractions,river inflow",kufel_l
WOS:A1993KZ93800003,NUTRIENT LIMITATION IN A HYPEREUTROPHIC FLORIDA LAKE,Archiv Fur Hydrobiologie,Archiv Fur Hydrobiologie,1993,NA,"aldridge_fj,schelske_cl,carrick_hj"
