uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix
WOS:000254768000012,Extreme tolerance to anoxia in the Lucinoma aequizonata symbiosis,Journal of Shellfish Research,Journal of Shellfish...,2008,"symbiosis,lucinoma,lucinid,anaerobiosis,anoxia","arndt-sullivan_c,lechaire_j_-p,felbeck_h"
WOS:000258870200019,Effect of kappa-carrageenan and guar gum as a substitute for inorganic polyphosphate on pork sausages,Food Science and Biotechnology,Food Science and...,2008,"phosphate,guar gum,kappa-carrageenan,sausage","park_ki-soo,choi_yang-il,lee_sang-hwa,kim_chong-hee,auh_joong_hyuck"
WOS:000267885100004,"Molecular characterization of ThIPK2, an inositol polyphosphate kinase gene homolog from Thellungiella halophila, and its heterologous expression to improve abiotic stress tolerance in Brassica napus",Physiologia Plantarum,Physiologia Plantarum,2009,NA,"zhu_jin-qi,zhang_jian-tao,tang_ren-jie,lv_qun-dan,wang_qiu-qing,yang_lei,zhang_hong-xia"
WOS:000268589400007,CHEMICAL AND FUNCTIONAL PROPERTIES OF VARIOUS BLENDS OF PHOSPHATES,Journal of Food Quality,Journal of Food...,2009,NA,"kim_jin-soo,schnee_rainer,park_jae_w"
WOS:000273120100006,P-31 NMR spectroscopic studies of the influence of the environment in the degradation process of the Graham's salt,Ceramics International,Ceramics International,2010,"spectroscopy,lifetime,silicate,degradation of polyphosphates","casas_jose_m,garcia_maria_p,sanz_manuel,cacho_francisco,perez_jorge"
WOS:000276189600013,"Carotenoids of Gemmatimonas aurantiaca (Gemmatimonadetes): identification of a novel carotenoid, deoxyoscillol 2-rhamnoside, and proposed biosynthetic pathway of oscillol 2,2 '-dirhamnoside",Microbiology-Sgm,Microbiology-Sgm,2010,NA,"takaichi_shinichi,maoka_takashi,takasaki_kazuto,hanada_satoshi"
WOS:000277347400018,Evaluation of Textural Properties of Low-salt Pork Shoulder Comminuted Meats with Transglutaminase under Phosphate Combinations,Korean Journal For Food Science of Animal Resources,Korean Journal For...,2010,"transglutaminase,sodium polyphosphate,sodium pyrophosphate,low-salt pork comminuted meat","kim_hyeong_sang,chin_koo_bok"
WOS:000278357700036,"Modelling ion composition in simulated milk ultrafiltrate (SMUF) II. Influence of pH, ionic strength and polyphosphates",Food Chemistry,Food Chemistry,2010,"ion equilibria,ion speciation model,ph,kcl,nacl,polyphosphate,smuf","gao_r,van_halsema_f_e_d,temminghoff_e_j_m,van_leeuwen_h_p,van_valenberg_h_j_f,eisner_m_d,van_boekel_m_a_j_s"
WOS:000279298700003,Marine Dissolved Organic Phosphorus Composition: Insights from Samples Recovered Using Combined Electrodialysis/Reverse Osmosis,Aquatic Geochemistry,Aquatic Geochemistry,2010,"phosphorus,polyphosphate,phosphonate,marine,amundsen sea,effingham inlet,electrodialysis","young_cindy_l,ingall_ellery_d"
WOS:000282098100046,A Vibrio Effector Protein Is an Inositol Phosphatase and Disrupts Host Cell Membrane Integrity,Science,Science,2010,NA,"broberg_christopher_a,zhang_lingling,gonzalez_herman,laskowski-arce_michelle_a,orth_kim"
WOS:000282813700006,Non-Skeletal Biomineralization by Eukaryotes: Matters of Moment and Gravity,Geomicrobiology Journal,Geomicrobiology Journal,2010,"ballast,barite,bassanite,calcium carbonate,calcium oxalate,celestite,gypsum,magnetite,magnetotaxis,polyphosphate,statoliths","raven_john_a,knoll_andrew_h"
WOS:000283657000023,Production of organic matter by Trichodesmium IMS101 as a function of phosphorus source,Limnology and Oceanography,Limnology and Oceanography,2010,NA,"white_a_e,karl_d_m,bjoerkman_k_m,beversdorf_l_j,letelier_r_m"
WOS:000283667100032,Polyphosphate in Trichodesmium from the low-phosphorus Sargasso Sea,Limnology and Oceanography,Limnology and Oceanography,2010,NA,"orchard_elizabeth_d,benitez-nelson_claudia_r,pellechia_perry_j,lomas_michael_w,dyhrman_sonya_t"
WOS:000285773200005,The Influence of Additives and Frozen Storage on Functional Properties and Flow Behaviour of Fish Protein Isolated from Haddock (Melanogrammus aeglefinus),Turkish Journal of Fisheries and Aquatic Sciences,Turkish Journal of...,2010,"functional properties,flow behavior,haddock,fish protein isolates,additives","shaviklo_gholam_reza,thorkelsson_gudjon,arason_sigurjon"
WOS:000285824400005,"Effects of the pressure, flow rate and delivered volume of brine on the distributions of brine and bacteria in brine-injected meat",Food Control,Food Control,2011,NA,"uttaro_b,badoni_m,zawadski_s,gill_c_o"
WOS:000286530500012,Comparison of Marinating with Two Different Types of Marinade on Some Quality and Sensory Characteristics Turkey Breast Meat,Journal of Animal and Veterinary Advances,Journal of Animal...,2011,"tumbling,marination,phosphate,lactic acid,salt,turkey meat,tenderness","ergezer_haluk,gokce_ramazan"
WOS:000287826800010,Stimulation of phosphate uptake and polyphosphate accumulation by activated sludge microorganisms in response to sulfite addition,Water Science and Technology,Water Science and...,2011,"biological phosphate removal,polyphosphate accumulation,sulfite","lai_m_w-y,kulakova_a_n,quinn_j_p,mcgrath_j_w"
WOS:000288313100017,Elemental composition of equatorial Pacific diatoms exposed to additions of silicic acid and iron,Deep-Sea Research Part Ii-Topical Studies in Oceanography,Deep-Sea Research Part...,2011,"eastern equatorial pacific,110 degrees w 140 degrees w 5 degrees n 5 degrees s,sxrf,diatoms,stoichiometry,silicic acid,silicification,iron","baines_stephen_b,twining_benjamin_s,vogt_stefan,balch_william_m,fisher_nicholas_s,nelson_david_m"
WOS:000290473200040,New Method Using a Positively Charged Microporous Filter and Ultrafiltration for Concentration of Viruses from Tap Water,Applied and Environmental Microbiology,Applied and Environmental...,2011,NA,"ikner_luisa_a,soto-beltran_marcela,bright_kelly_r"
WOS:000291241200006,Dynamics of Ag+ ions and immobile salt effect in CdI2 doped silver phosphate glasses,Solid State Ionics,Solid State Ionics,2011,"ionic conductivity,superionic glass,silver phosphate glass","kabi_s,ghosh_a"
WOS:000292531600018,Effect of Oyster Shell Powder on Quality Properties and Storage Stability of Emulsion-type Pork Sausages,Korean Journal For Food Science of Animal Resources,Korean Journal For...,2011,"oyster shell powder,inorganic polyphosphate,emulsion-type pork sausages","lee_jae-joon,park_sung-hyun,choi_jung-soek,kim_jong-hee,lee_sang-hwa,choi_suk-hyun,choi_yang-il,jung_dong-soon"
WOS:000293632500001,"Cloning and nucleotide sequence of D-hydantoinase gene of marine polyphosphate-accumulating bacterium, Halomonas sp YSR-3",Chinese Journal of Oceanology and Limnology,Chinese Journal of...,2011,"halomonas sp ysr-3,d-hydantoinase,polyphosphate-accumulating bacterium","ren_shiying,li_xiangqian,jia_jianbo,liu_fei,xiao_tian"
WOS:000295562100018,"A study on enrichment of the rotifer Brachionus ""Cayman"" with iodine and selected vitamins",Aquaculture,Aquaculture,2011,"brachionus,vitamin a,vitamin e,vitamin c,thiamine,iodine","srivastava_ashutosh,stoss_joachim,hamre_kristin"
WOS:000296862700059,Cone Calorimeter Study of Inorganic Salts as Flame Retardants in Polyurethane Adhesive with Limestone Filler,Journal of Applied Polymer Science,Journal of Applied...,2012,"polyurethane adhesive,flame retardants,cone calorimeter,heat release rate,time to ignition,fire testing","lindholm_johan,brink_anders,wilen_carl-eric,hupa_mikko"
WOS:000299730600009,DISSECTING THE PHYSIOLOGICAL RESPONSE TO PHOSPHORUS STRESS IN MARINE SYNECHOCOCCUS ISOLATES (CYANOPHYCEAE),Journal of Phycology,Journal of Phycology,2012,"marine synechococcus,phosphorus,physiology,polyphosphate","mazard_sophie,wilson_william_h,scanlan_dave_j"
WOS:000304523400035,The Transcriptome and Proteome of the Diatom Thalassiosira pseudonana Reveal a Diverse Phosphorus Stress Response,Plos One,Plos One,2012,NA,"dyhrman_sonya_t,jenkins_bethany_d,rynearson_tatiana_a,saito_mak_a,mercier_melissa_l,alexander_harriet,whitney_leann_p,drzewianowski_andrea,bulygin_vladimir_v,bertrand_erin_m,wu_zhijin,benitez-nelson_claudia,heithoff_abigail"
WOS:000304810200014,LOCALIZATION OF IRON WITHIN CENTRIC DIATOMS OF THE GENUS THALASSIOSIRA,Journal of Phycology,Journal of Phycology,2012,"centric diatoms,element mapping,intrapopulation variability,iron localization,single-cell analysis,synchrotron x-ray fluorescence,vacuole","nuester_jochen,vogt_stefan,twining_benjamin_s"
WOS:000305919900011,Low-salt porcine serum concentrate as functional ingredient in frankfurters,Meat Science,Meat Science,2012,"porcine serum,defibrinated plasma,meat product ingredients,polyphosphate-free,membrane diafiltration,frankfurters","pares_dolors,saguer_elena,pap_nora,toldra_monica,carretero_carmen"
WOS:000309030800011,"Comparison of physicochemical and sensorial characteristics of beef hamburgers elaborated with sodium chloride, poliphosphate and transglutaminase",Revista Brasileira De Medicina Veterinaria,Revista Brasileira De...,2012,"transglutaminase,poliphosphate,sodium chloride,bovine meat,hamburger,restructured beef","ferreira_micheli_da_silva,marsico_eliane_teixeira,medeiros_renata_jurema,pombo_cecilia_riscado,freitas_monica_queiroz,sao_clemente_sergio_carmona,conte_junior_carlos_adam"
WOS:000309085800022,Physicochemical and organoleptic characteristics of seasoned beef patties with added glutinous rice flour,Meat Science,Meat Science,2012,"glutinous rice flour,soy protein isolate,corn starch,polyphosphate,beef patty","yi_hae_chang,cho_hyunnho,hong_jae_joon,ryu_rae_kyeong,hwang_keum_taek,regenstein_joe_m"
WOS:000310432900002,"Transgenic expression of ThIPK2 gene in soybean improves stress tolerance, oleic acid content and seed size",Plant Cell Tissue and Organ Culture,Plant Cell Tissue...,2012,"glycine max,thipk2 gene,transgenic soybean,abiotic stresses,fatty acids","liu_miao,li_dongmei,wang_zhikun,meng_fanli,li_yongguang,wu_xiaoxia,teng_weili,han_yingpeng,li_wenbin"
WOS:000311425800001,Potentiation of the Cytotoxic Activity of Copper by Polyphosphate on Biofilm-Producing Bacteria: A Bioinspired Approach,Marine Drugs,Marine Drugs,2012,"biofilm,marine coatings,antifouling strategies,synergism,polyphosphate,copper,bisphosphonate,bioinspired approach","mueller_werner_e_g,wang_xiaohong,guo_yue-wei,schroeder_heinz_c"
WOS:000312931600030,"Fluorometric Quantification of Polyphosphate in Environmental Plankton Samples: Extraction Protocols, Matrix Effects, and Nucleic Acid Interference",Applied and Environmental Microbiology,Applied and Environmental...,2013,NA,"martin_patrick,van_mooy_benjamin_a_s"
WOS:000313470400009,Effects of Pre-rigor Salting on the Physicochemical and Textural Properties of Ground Duck Breast Muscle,Korean Journal For Food Science of Animal Resources,Korean Journal For...,2012,"pre-rigor muscle,duck breast muscle,salting,phosphate","lee_sang-hun,choi_ji-hun,choi_yun-sang,kim_hack-youn,kim_hyun-wook,park_jae-hyun,song_dong-heon,kim_yong-jae,kim_cheon-jei"
WOS:000313933500022,Comprehensive Study of the Influence of Different Aging Scenarios on the Fire Protective Behavior of an Epoxy Based Intumescent Coating,Industrial and Engineering Chemistry Research,Industrial and Engineering...,2013,NA,"jimenez_m,bellayer_s,revel_b,duquesne_s,bourbigot_s"
WOS:000313960500025,Oxidative stress proteins as an indicator of a low quality of eucalyptus clones for the pulp and paper industry,Genetics and Molecular Research,Genetics and Molecular...,2012,"differential proteins,2-d page,nanolc-esi-q-tof,heat shock proteins","britto_d_s,pirovani_c_p,gonzalez_e_r,silva_j_f,gesteira_a_s,cascardo_j_c_m"
WOS:000319237000003,Functionality of pork meat proteins: Impact of sodium chloride and phosphates under high-pressure processing,Innovative Food Science and Emerging Technologies,Innovative Food Science...,2013,"high pressure,sodium chloride,phosphates,calorimetry,technological properties","villamonte_g,simonin_h,duranton_f,cheret_r,de_lamballerie_m"
WOS:000323997800003,Effects of Phosphate Dip Treatment on Quality of Rutilus frisii kutum Fillets During Ice Storage,Journal of Aquatic Food Product Technology,Journal of Aquatic...,2013,"polyphosphate,rutilus frisii kutum,ice storage,quality","etemadian_yasaman,shabanpour_bahare,mahoonak_alireza_sadeghi,shabani_ali"
WOS:000326891500003,Cd2+ resistance mechanisms in Methanosarcina acetivorans involve the increase in the coenzyme M content and induction of biofilm synthesis,Environmental Microbiology Reports,Environmental Microbiology Reports,2013,NA,"lira-silva_elizabeth,geovanni_santiago-martinez_m,garcia-contreras_rodolfo,zepeda-rodriguez_armando,marin-hernandez_alvaro,moreno-sanchez_rafael,jasso-chavez_ricardo"
WOS:000327461800002,"Novel surface associated polyphosphate bodies sequester uranium in the filamentous, marine cyanobacterium, Anabaena torulosa",Metallomics,Metallomics,2013,NA,"acharya_celin,apte_shree_kumar"
WOS:000331486200003,Synthesis and characterization of different chain length sodium polyphosphates,Journal of Non-Crystalline Solids,Journal of Non-Crystalline...,2013,"sodium polyphosphate,kurrol salt,graham salt,chain length","momeni_arash,filiaggi_mark_joseph"
WOS:000333231800015,Shelf life of chill stored pangasius (Pangasianodon hypophthalmus) fish fillets: effect of vacuum and polyphosphate,Indian Journal of Fisheries,Indian Journal of...,2013,"fillets,pangasianodon hypophthalmus,pangasius,polyphosphate,vacuum","rao_b_madhusudana,murthy_l_narasimha,prasad_m_m"
WOS:000335113100024,"Synthesis of 1-hydroxy ethylidene-1,1-diphosphonic ammonium and the promise of this ammonium salt as an intumescent flame retardant in polystyrene",Polymer Degradation and Stability,Polymer Degradation and...,2014,"intumescent flame retardant,hedp,ammonium salts,thermal stability,polystyrene","xia_yin,mao_zongwen,jin_fangfang,guan_yong,zheng_anna"
WOS:000335745100032,"The Marine Sponge-Derived Inorganic Polymers, Biosilica and Polyphosphate, as Morphogenetically Active Matrices/Scaffolds for the Differentiation of Human Multipotent Stromal Cells: Potential Application in 3D Printing and Distraction Osteogenesis",Marine Drugs,Marine Drugs,2014,"biosilica,polyphosphate,multipotent stromal cells,mesenchymal stem cells,alkaline phosphatase,3d cell/tissue printing,distraction osteogenesis","wang_xiaohong,schroeder_heinz_c,grebenjuk_vladislav,diehl-seifert_baerbel,mailaender_volker,steffen_renate,schlossmacher_ute,mueller_werner_e_g"
WOS:000336687900057,Accumulation and enhanced cycling of polyphosphate by Sargasso Sea plankton in response to low phosphorus,Proceedings of the National Academy of Sciences of the United States of America,Proceedings of the...,2014,"nutrient limitation,phosphorus cycling,marine phytoplankton,lipids","martin_patrick,dyhrman_sonya_t,lomas_michael_w,poulton_nicole_j,van_mooy_benjamin_a_s"
WOS:000336843600006,"Distributions of iron, phosphorus and sulfur along trichomes of the cyanobacteria Trichodesmium",Metallomics,Metallomics,2014,NA,"nuester_jochen,newville_matthew,twining_benjamin_s"
WOS:000339464200004,Effects of Organic Salts on Intestinal Calcium Absorption Using the Caco-2 Cell Culture Model,Journal of the Japanese Society For Food Science and Technology-Nippon Shokuhin Kagaku Kogaku Kaishi,Journal of the...,2014,"sodium citrate,phosphate salt,calcium absorption,caco-2,frozen surimi","tsujimura_kazunari,doi_kohei,kuwahara_koichi"
WOS:000340168200026,DEVELOPMENT AND CHARACTERIZATION OF FISH SAUSAGES SUPPLEMENTED WITH SALMON OIL,Journal of Food Processing and Preservation,Journal of Food...,2014,NA,"oliveira_a_c_m,himelbloom_b_h,montazeri_n,davenport_m,biceroglu_h,brenner_k_a,thomas_s_r,crapo_c_a"
WOS:000341486600014,Degradation of polyphosphates by polyphosphate kinases from Ruegeria pomeroyi,Biotechnology Letters,Biotechnology Letters,2014,"calgon,calcium salts,polyphosphate degradation,polyphosphate kinase,ppk2 homolog,ruegeria pomeroyi","achbergerova_lucia,nahalka_jozef"
WOS:000342921200025,Sub-Micrometer-Scale Mapping of Magnetite Crystals and Sulfur Globules in Magnetotactic Bacteria Using Confocal Raman Micro-Spectrometry,Plos One,Plos One,2014,NA,"eder_stephan_h_k,gigler_alexander_m,hanzlik_marianne,winklhofer_michael"
WOS:000345631900013,Genomic analysis reveals versatile heterotrophic capacity of a potentially symbiotic sulfur-oxidizing bacterium in sponge,Environmental Microbiology,Environmental Microbiology,2014,NA,"tian_ren-mao,wang_yong,bougouffa_salim,gao_zhao-ming,cai_lin,bajic_vladimir,qian_pei-yuan"
WOS:000347435100016,A Single Pot Approach for Synthesis of Phosphate Coated Iron Oxide Nanoparticles,Journal of Nanoscience and Nanotechnology,Journal of Nanoscience...,2015,"ferrites,nanofluids,ferrofluid,biomedical,functionalization","muthukumaran_t,philip_john"
WOS:000353336900025,"Phosphate Limitation Induces Drastic Physiological Changes, Virulence- Related Gene Expression, and Secondary Metabolite Production in Pseudovibrio sp Strain FO-BEG1",Applied and Environmental Microbiology,Applied and Environmental...,2015,NA,"romano_stefano,schulz-vogt_heide_n,gonzalez_jose_m,bondarev_vladimir"
WOS:000354412900005,Partial sodium replacement in tilapia steak without loss of acceptability,Food Science and Technology International,Food Science and...,2015,"oreochromis niloticus,salt reduction,potassium chloride,magnesium chloride,sensory properties","monteiro_maria_lucia_g,marsico_eliane_t,canto_anna_carolina_v_c_s,costa-lima_bruno_r_c,lazaro_cesar_a,cruz_adriano_g,conte-junior_carlos_a"
WOS:000364073700018,Anticorrosion/antifouling properties of bacterial spore-loaded sol-gel type coating for mild steel in saline marine condition: a case of thermophilic strain of Bacillus licheniformis,Rsc Advances,Rsc Advances,2015,NA,"eduok_ubong,suleiman_rami,gittens_jeanette,khaled_mazen,smith_thomas_j,akid_robert,el_ali_bassam,khalil_amjad"
WOS:000364186000001,Potential effects of UV radiation on photosynthetic structures of the bloom-forming cyanobacterium Cylindrospermopsis raciborskii CYRF-01,Frontiers in Microbiology,Frontiers in Microbiology,2015,"ultraviolet radiation,cyanobacteria,cell death,thylakoid membranes,transmission electron microscopy,cell viability","noyma_natalia_p,silva_thiago_p,chiarini-garcia_helio,amado_andre_m,roland_fabio,melo_rossana_c_n"
WOS:000367983800015,"Polyphosphate dynamics at Station ALOHA, North Pacific subtropical gyre",Limnology and Oceanography,Limnology and Oceanography,2016,NA,"diaz_julia_m,bjoerkman_karin_m,haley_sheean_t,ingall_ellery_d,karl_david_m,longo_amelia_f,dyhrman_sonya_t"
WOS:000368970300002,Rheology of polyphosphate coacervates,Journal of Rheology,Journal of Rheology,2016,NA,"momeni_arash,filiaggi_mark_joseph"
WOS:000369077300041,Low-field NMR determination of water distribution in meat batters with NaCl and polyphosphate addition,Food Chemistry,Food Chemistry,2016,"meat batter,nacl,polyphosphates,cooking loss,low-field nmr","shao_jun-hua,deng_ya-min,jia_na,li_ru-ren,cao_jin-xuan,liu_deng-yong,li_jian-rong"
WOS:000375876600005,Physicochemical properties of skim milk powders prepared with the addition of mineral chelators,Journal of Dairy Science,Journal of Dairy...,2016,"skim milk powder,chelators,solubility,turbidity,heat stability","sikand_v,tong_p_s,vink_sean,roy_soma"
WOS:000377222400002,Rheological and Textural Properties of Sodium Reduced Salt Soluble Myofibrillar Protein Gels Containing Sodium Tri-Polyphosphate,Journal of Texture Studies,Journal of Texture...,2016,"meat proteins,rheology,salt reduction","carkcioglu_e,rosenthal_a_j,candogan_k"
WOS:000381654600046,"Copper Uptake, Intracellular Localization, and Speciation in Marine Microalgae Measured by Synchrotron Radiation X-ray Fluorescence and Absorption Microspectroscopy",Environmental Science and Technology,Environmental Science and...,2016,NA,"adams_merrin_s,dillon_carolyn_t,vogt_stefan,lai_barry,stauber_jennifer,jolley_dianne_f"
WOS:000383526800008,Suppressive effects of three diketopiperazines from marine-derived bacteria on polyphosphate-mediated septic responses,Chemico-Biological Interactions,Chemico-Biological Interactions,2016,"diketopiperazine,polyphosphate,inflammation,barrier integrity","jeong_seongdo,ku_sae-kwang,min_gahee,choi_hyukjae,park_dong_ho,bae_jong-sup"
WOS:000384571800087,A bio-imitating approach to fabricate an artificial matrix for cartilage tissue engineering using magnesium-polyphosphate and hyaluronic acid,Rsc Advances,Rsc Advances,2016,NA,"mueller_werner_e_g,ackermann_maximilian,tolba_emad,neufurth_meik,wang_shunfeng,schroeder_heinz_c,wang_xiaohong"
WOS:000386991100026,Selective Uptake of Alkaline Earth Metals by Cyanobacteria Forming Intracellular Carbonates,Environmental Science and Technology,Environmental Science and...,2016,NA,"cam_nithavong,benzerara_karim,georgelin_thomas,jaber_maguy,lambert_jean-francois,poinsot_melanie,skouri-panet_feriel,cordier_laure"
WOS:000392926100002,Combined genomic and structural analyses of a cultured magnetotactic bacterium reveals its niche adaptation to a dynamic environment,Bmc Genomics,Bmc Genomics,2016,"magnetotactic bacteria,magnetosome,magnetofaba australis strain it-1,biomineralization,mam genes,genome","vieira_araujo_ana_carolina,morillo_viviana,cypriano_jefferson,rocha_saraiva_teixeira_lia_cardoso,leao_pedro,lyra_sidcley,de_almeida_luiz_gonzaga,bazylinski_dennis_a,ribeiro_de_vasconcellos_ana_tereza,abreu_fernanda,lins_ulysses"
WOS:000397259800016,"IDENTIFICATION OF A NEW-TO-SCIENCE CYANOBACTERIUM, TOXIFILUM MYSIDOCIDA GEN. NOV & SP NOV (CYANOBACTERIA, CYANOPHYCEAE)",Journal of Phycology,Journal of Phycology,2017,"fatty acid composition,marine cyanobacteria,texas,toxifilum mysidocida","zimba_paul_v,huang_i-shuo,foley_jennifer_e,linton_eric_w"
