uid,title,journal_fix,journal_short,year_fix,keywords_fix,authors_fix,category
WOS:000287589700005,Biological removal of phosphate from synthetic wastewater using bacterial consortium,Iranian Journal of Biotechnology,Iranian Journal of...,2011,"phosphate removal,synthetic waste water,consortium-bacillus sp rs-1,pseudomonas sp ylw-7,enterobacter sp klw-2","krishnaswamy_usharani,muthuchamy_muthukumar,perumalsamy_lakshmanaperumalsamy",freshwater
WOS:000359833900015,Effect of a Humus Soil Side-Stream Reactor (HSR) on the Bacterial Characteristics in Enhanced Biological Phosphorus Removal Process,Journal of Chemical Engineering of Japan,Journal of Chemical...,2015,"polyphosphate accumulating organisms,glycogen accumulating organisms,humus soil side-stream reactor,polyphosphate kinase","wu_min,zhu_rui,ma_huirong,zhu_heguang,dai_xiaohu,yang_jian",freshwater
WOS:000327911700007,A novel post denitrification configuration for phosphorus recovery using polyphosphate accumulating organisms,Water Research,Water Research,2013,"phosphorus removal,phosphorus recovery,enhanced biological phosphorus removal,polyphosphate accumulating organisms,denitrifying polyphosphate accumulating organisms,wastewater treatment,post denitrification","wong_pan_yu,cheng_ka_yu,kaksonen_anna_h,sutton_david_c,ginige_maneesha_p",freshwater
WOS:000353729100052,The metabolic versatility of PAOs as an opportunity to obtain a highly P-enriched stream for further P-recovery,Chemical Engineering Journal,Chemical Engineering Journal,2015,"phosphorus recovery,polyphosphate (poly-p),polyphosphate accumulating metabolism (pam),glycogen accumulating metabolism (gam),enhanced biological phosphorus removal (ebpr),sequencing batch reactor (sbr)","acevedo_b,camino_c,corona_j_e,borras_l,barat_r",freshwater
WOS:000464296400005,"Simultaneous nitrification, denitrification and phosphorus recovery (SNDPr) - An opportunity to facilitate full-scale recovery of phosphorus from municipal wastewater",Journal of Environmental Management,Journal of Environmental...,2019,"phosphorus recovery,polyphosphate accumulating organisms (paos),denitrifying polyphosphate accumulating organisms (dpaos),simultaneous nitrification denitrification and phosphorus removal (sndpr)","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p",freshwater
WOS:000350869700008,EBPR Using Crude Glycerol: Assessing Process Resiliency and Exploring Metabolic Anomalies,Water Environment Research,Water Environment Research,2015,"enhanced biological phosphorus removal (ebpr),crude glycerol,polyphosphate accumulating organisms (paos),glycogen accumulating organisms (gaos),volatile fatty acids (vfas),polyphosphate","coats_erik_r,dobroth_zachary_t,brinkman_cynthia_k",freshwater
WOS:000493220400025,Side-stream enhanced biological phosphorus removal (S2EBPR) process improves system performance - A full-scale comparative study,Water Research,Water Research,2019,"ebpr,side-stream,performance comparison,microbial ecology,activity","wang_dongqi,tooker_nicholas_b,srinivasan_varun,li_guangyu,fernandez_loretta_a,schauer_peter,menniti_adrienne,maher_chris,bott_charles_b,dombrowski_paul,barnard_james_l,onnis-hayden_annalisa,gu_april_z",freshwater
WOS:000433649800055,Improvement of carbon usage for phosphorus recovery in EBPR-r and the shift in microbial community,Journal of Environmental Management,Journal of Environmental...,2018,"nutrient removal,phosphorus recovery,post-denitrification,phosphorus removal,polyphosphate accumulating organisms,denitrifying polyphosphate accumulating organisms","wong_pan_yu,cheng_ka_yu,krishna_k_c_bal,kaksonen_anna_h,sutton_david_c,ginige_maneesha_p",freshwater
WOS:000412211300007,A comparative study of microbial dynamics and phosphorus removal for a two side-stream wastewater treatment processes,Rsc Advances,Rsc Advances,2017,NA,"zhang_yanyan,islam_md_shahinoor,mcphedran_kerry_n,dong_shimiao,rashed_ehab_m,el-shafei_maha_m,noureldin_ahmed_m,el-din_mohamed_gamal",freshwater
WOS:000430269200041,Re-visiting the Phostrip process to recover phosphorus from municipal wastewater,Chemical Engineering Journal,Chemical Engineering Journal,2018,"phostrip,municipal wastewater,phosphorus recovery,modified michaelis-menten kinetics","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p",freshwater
WOS:000438658800035,The ability of PAOs to conserve their storage-driven phosphorus uptake activities during prolonged aerobic starvation conditions,Journal of Water Process Engineering,Journal of Water...,2018,"denitrifying polyphosphate accumulating organism,phosphorus recovery,phosphorus removal,polyphosphate accumulating organisms,post-denitrification","wong_pan_yu,ginige_maneesha_p,kaksonen_anna_h,sutton_david_c,cheng_ka_yu",freshwater
WOS:000353560300014,Integrated side-stream reactor for biological nutrient removal and minimization of sludge production,Water Science and Technology,Water Science and...,2015,"activated sludge,biomass production,energy uncoupling,side-stream reactor (ssr),sludge reduction,yield","coma_m,rovira_s,canals_j,colprim_j",freshwater
WOS:000430969800023,"Correlation of microbial community structure with pollutants removal, sludge reduction and sludge characteristics in micro-aerobic side-stream reactor coupled membrane bioreactors under different hydraulic retention times",Bioresource Technology,Bioresource Technology,2018,"sludge reduction,side-stream reactor,micro-aerobic,wastewater treatment,microbial community","cheng_cheng,zhou_zhen,pang_hongjian,zheng_yue,chen_liuyu,jiang_lu-man,zhao_xiaodan",freshwater
WOS:000271664600031,Production of polyhydroxybutyrate by activated sludge performing enhanced biological phosphorus removal,Bioresource Technology,Bioresource Technology,2010,"activated sludge,biodegradable plastics,enhanced biological phosphorus removal,polyhydroxybutyrate","rodgers_michael,wu_guangxue",freshwater
WOS:000403987500033,Dynamics of microbial community structure and nutrient removal from an innovative side-stream enhanced biological phosphorus removal process,Journal of Environmental Management,Journal of Environmental...,2017,"side-stream ebpr,phosphate accumulating organisms,real time pcr,next generation sequencing","islam_md_shahinoor,zhang_yanyan,dong_shimiao,mcphedran_kerry_n,rashed_ehab_m,el-shafei_maha_m,noureldin_ahmed_m,el-din_mohamed_gamal",freshwater
WOS:000262571700014,Polyhydroxyalkanoate synthesis using different carbon sources by two enhanced biological phosphorus removal microbial communities,Process Biochemistry,Process Biochemistry,2009,"volatile fatty acid (vfa),enhanced biological phosphorus removal (ebpr) polyhydroxyalkanoate (pha),polyphosphate accumulating organisms (pao)","pijuan_maite,casas_carles,baeza_juan_antonio",freshwater
WOS:000329274900009,Metabolic versatility in full-scale wastewater treatment plants performing enhanced biological phosphorus removal,Water Research,Water Research,2013,"polyphosphate accumulating organisms (pao),glycogen accumulating organisms (gao),tca cycle,glycolysis,glycogen,return sludge side-stream hydrolysis (rss)","lanham_ana_b,oehmen_adrian,saunders_aaron_m,carvalho_gilda,nielsen_per_h,reis_maria_a_m",freshwater
WOS:000257649100038,"Development of a 2-sludge, 3-stage system for nitrogen and phosphorous removal from nutrient-rich wastewater using granular sludge and biofilms",Water Research,Water Research,2008,"2-sludge system,nutrient removal,granular sludge,nitrite/fna,nitrous oxide,nutrient-rich wastewater","zhou_yan,pijuan_maite,yuan_zhiquo",freshwater
WOS:000265787500005,A sequencing batch reactor system for high-level biological nitrogen and phosphorus removal from abattoir wastewater,Biodegradation,Biodegradation,2009,"biological nutrient removal,ebpr,pre-fermentation,sbr,slaughterhouse,step-feed,pao","lemaire_romain,yuan_zhiguo,bernet_nicolas,marcos_marcelino,yilmaz_gulsum,keller_juerg",freshwater
WOS:000375186700012,Phosphorus removal and recovery from domestic wastewater in a novel process of enhanced biological phosphorus removal coupled with crystallization,Bioresource Technology,Bioresource Technology,2016,"enhanced biological phosphorus removal,crystallization phosphorus recovery,denitrifying polyphosphate accumulating organisms (dpao),hydroxyapatite (hap),domestic wastewater treatment","zou_haiming,wang_yan",freshwater
WOS:000347756900075,EBP2R-An innovative enhanced biological nutrient recovery activated sludge system to produce growth medium for green microalgae cultivation,Water Research,Water Research,2015,"wastewater resources management,water,phosphorus and nitrogen recovery,micro-algae cultivation,process modelling,uncertainty and global sensitivity analysis","valuerde-perez_borja,ramin_elham,smets_barth_f,plosz_benedek_gy",freshwater
WOS:000447004100055,A novel storage driven granular post denitrification process: Long-term effects of volume reduction on phosphate recovery,Chemical Engineering Journal,Chemical Engineering Journal,2019,"p recovery,dpaos,a(2)-sbr,granular sludge,anaerobic-anoxic,post denitrification,volume reduction","salehi_sara,cheng_ka_yu,heitz_anna,ginige_maneesha_p",freshwater
WOS:000460350900016,Operation performance of an A/O process combined sewage sludge treatment and phosphorus recovery using human urine,Water Science and Technology,Water Science and...,2018,"anaerobic/aerobic process,human urine,phosphorus recovery,temperature control,ultrasonic treatment","zeng_fanzhe,jin_wenbiao,zhao_qingliang",freshwater
WOS:000439640900054,Free ammonia-based sludge treatment reduces sludge production in the wastewater treatment process,Chemosphere,Chemosphere,2018,"wastewater treatment plants,sludge reduction,biological nutrient removal,free ammonia","yang_guojing,xu_qiuxiang,wang_dongbo,tang_li,xia_jingfen,wang_qilin,zeng_guangming,yang_qi,li_xiaoming",freshwater
WOS:000497391100001,Global Sensitivity Analysis of Metabolic Models for Phosphorus Accumulating Organisms in Enhanced Biological Phosphorus Removal,Frontiers in Bioengineering and Biotechnology,Frontiers in Bioengineering...,2019,"global sensitivity analysis,monte carlo,enhanced biological phosphorus removal,phosphorus accumulating organism,metabolic model,ebpr,standard regression coefficients,sobol sensitivity analysis","minh_nguyen_quang,rogers_tim,hofman_jan,lanham_ana_b",freshwater
WOS:000464373000015,"Widespread detection of Candidatus Accumulibacter phosphatis, a polyphosphate-accumulating organism, in sediments of the Columbia River estuary",Environmental Microbiology,Environmental Microbiology,2019,NA,"watson_sheree_j,needoba_joseph_a,peterson_tawnya_d",freshwater
WOS:000292975600001,Enhancement of Nutrient Removal from Eutrophic Water by a Plant-Microorganisms Combined System,Environmental Engineering Science,Environmental Engineering Science,2011,"bioremediation,denitrifying polyphosphate-accumulating organisms (dpaos),eutrophication,perennial grasses","li_hong,zhao_he-ping,hao_hu-lin,liang_jun,zhao_feng-liang,xiang_lv-cheng,yang_xiao-e,he_zhen-li,stoffella_peter_j",freshwater
WOS:A1992HM29100007,BIOLOGICAL PHOSPHATE REMOVAL BY ACTIVATED-SLUDGE UNDER DEFINED CONDITIONS,Water Research,Water Research,1992,"activated sludge,biological phosphate removal,phosphate,polyphosphate,waste-water treatment","appeldoorn_kj,kortstee_gjj,zehnder_ajb",freshwater
WOS:000358805000001,Microbiological study of bacteriophage induction in the presence of chemical stress factors in enhanced biological phosphorus removal (EBPR),Water Research,Water Research,2015,"biological phosphorus removal,ebpr upset,bacteriophage induction,heavy metal,cyanide,antibiotic","motlagh_amir_mohaghegh,bhattacharjee_ananda_s,goel_ramesh",freshwater
WOS:000340837600028,Impact of salinity on the anaerobic metabolism of phosphate-accumulating organisms (PAO) and glycogen-accumulating organisms (GAO),Applied Microbiology and Biotechnology,Applied Microbiology and...,2014,"water scarcity,saline wastewater,enhanced biological phosphorus removal (ebpr),phosphate-accumulating organisms (pao),glycogen-accumulating organisms (gao),competition","welles_l,lopez-vazquez_c_m,hooijmans_c_m,van_loosdrecht_m_c_m,brdjanovic_d",freshwater
WOS:000254814300032,"Identification and ecophysiological characterization of epiphytic protein-hydrolyzing Saprospiraceae (""Candidatus epiflobacter"" spp.) in activated sludge",Applied and Environmental Microbiology,Applied and Environmental...,2008,NA,"xia_yun,kong_yunhong,thomsen_trine_rolighed,nielsen_per_halkjaer",freshwater
WOS:000406137200008,Sulfide effects on the anaerobic metabolism of polyphosphate-accumulating organisms,Chemical Engineering Journal,Chemical Engineering Journal,2017,"'candidatus accumulibacter phosphatis',sulfide inhibition,anaerobic,modelling,ebpr,pao","saad_sondos_a,welles_laurens,lopez-vazquez_carlos_m,van_loosdrecht_mark_c_m,brdjanovic_damir",freshwater
WOS:000371371700052,UV/H2O2 and UV/PDS Treatment of Trimethoprim and Sulfamethoxazole in Synthetic Human Urine: Transformation Products and Toxicity,Environmental Science and Technology,Environmental Science and...,2016,NA,"zhang_ruochun,yang_yongkui,huang_ching-hua,li_na,liu_hang,zhao_lin,sun_peizhe",freshwater
WOS:000350322700008,Evaluation of Simultaneous Nutrient and COD Removal with Polyhydroxybutyrate (PHB) Accumulation Using Mixed Microbial Consortia under Anoxic Condition and Their Bioinformatics Analysis,Plos One,Plos One,2015,NA,"jena_jyotsnarani,kumar_ravindra,dixit_anshuman,pandey_sony,das_trupti",freshwater
WOS:000259147900020,"Environmental distribution and population biology of Candidatus Accumulibacter, a primary agent of biological phosphorus removal",Environmental Microbiology,Environmental Microbiology,2008,NA,"peterson_s_brook,warnecke_falk,madejska_julita,mcmahon_katherine_d,hugenholtz_philip",freshwater
